id	context	predictions	aggregatedPredictions	category
1548	Excerpts from an exchange between Senator Strom Thurmond, chairman of the Judiciary Committee, and Jeffrey W. Levi, executive director of the National Gay and Lesbian Task Force, at a hearing on the nomination of Associate Justice William H. Rehnquist to be Chief Justice, July 31: MR. THURMOND: Mr. Levi, are you an officer in the National Gay and Lesbian Task Force?	[[0.547,0.405,0.038,0.002,0.007]]	[0.547,0.405,0.038,0.002,0.007]	very negative
1549	LEAD: Rose Mary Denman, who was suspended from her duties as a minister in the United Methodist Church when she acknowledged she was a lesbian, has been accepted as a minister in the Unitarian Universalist Fellowship.	[[0.202,0.574,0.193,0.019,0.012]]	[0.202,0.574,0.193,0.019,0.012]	negative
1550	''BEFORE STONEWALL: The Making of a Gay and Lesbian Community'' begins with a preface. ''	[[0.085,0.585,0.229,0.081,0.019]]	[0.085,0.585,0.229,0.081,0.019]	negative
1551	LEAD: The United Methodist Church, citing a church law passed three years ago, has begun the process of defrocking a minister because she has acknowledged she was a practicing lesbian.	[[0.206,0.539,0.182,0.047,0.026]]	[0.206,0.539,0.182,0.047,0.026]	negative
1552	More than 10,000 supporters of rights for homosexuals marched through Beacon Hill and rallied on The Common today in the annual Gay and Lesbian Pride parade.	[[0.244,0.64,0.079,0.019,0.018]]	[0.244,0.64,0.079,0.019,0.018]	negative
1553	The poster accused her of being a lesbian and called her an ''insect who is harmful to society.''	[[0.052,0.576,0.359,0.011,0.003]]	[0.052,0.576,0.359,0.011,0.003]	negative
1554	The AIDS crisis appears to have highlighted the discrimination that gay men and lesbians have always experienced,'' the commission said in a report to Mayor Koch.	[[0.217,0.548,0.216,0.011,0.008]]	[0.217,0.548,0.216,0.011,0.008]	negative
1555	What has kept her legend fresh is the question of whether she was a prostitute or the lesbian headmistress of one of the popular institutions designed to train young women in the arts and cult service of the gods.	[[0.053,0.228,0.24,0.39,0.089]]	[0.053,0.228,0.24,0.39,0.089]	positive
1556	LORETTA LOTMAN'S ''Thanksgiving,'' at the Stonewall Repertory Theater, is a captious, quarrelsome play about a lesbian's homecoming to a traditional Middle Western family.	[[0.123,0.668,0.192,0.012,0.006]]	[0.123,0.668,0.192,0.012,0.006]	negative
1557	Earlier this year the Democratic National Committee established a Gay and Lesbian Caucus, and officials at the Republican National Committee so far have held two meetings with representatives of the party's six homosexual clubs. ''	[[0.033,0.082,0.041,0.604,0.241]]	[0.033,0.082,0.041,0.604,0.241]	positive
1558	As city officials talk with organizers of the Gay/Lesbian Pride Day parade about painting a lavender stripe along Fifth Avenue, they have also compiled final statistics on the St. Patrick's Day green stripe.	[[0.115,0.628,0.192,0.049,0.015]]	[0.115,0.628,0.192,0.049,0.015]	negative
1559	To the Editor: Not the least of Billie Jean King's many triumphs was the way she admitted, against legal advice, the lesbian relationship in her past.	[[0.128,0.653,0.196,0.016,0.007]]	[0.128,0.653,0.196,0.016,0.007]	negative
1560	It seems clear from the testimony,'' said Julian Epstein, a spokesman for Representative John Conyers Jr., the Michigan Democrat who heads the subcommittee, ''that there have been dramatic increases in violence directed against gay men and lesbians, and the violence seems to be connected with the AIDS problem and a general hostility directed against the gay and lesbian population.''	[[0.216,0.573,0.175,0.025,0.012]]	[0.216,0.573,0.175,0.025,0.012]	negative
1561	Marilyn Barnett, Mrs. King's former secretary, filed a ''palimony'' suit for half of Mrs. King's earnings from a seven-year period in the 1970's when, she said, they had a lesbian relationship.	[[0.184,0.62,0.149,0.028,0.019]]	[0.184,0.62,0.149,0.028,0.019]	negative
1562	A former hairdresser must move within 30 days from a beach house owned by her onetime lesbian lover, the tennis star Billie Jean King, a judge ruled today.	[[0.094,0.536,0.229,0.115,0.026]]	[0.094,0.536,0.229,0.115,0.026]	negative
1563	The tennis star Billie Jean King has won a temporary restraining order barring the publication of about 100 letters that Mrs. King wrote to a woman with whom she has said she had a lesbian relationship.	[[0.225,0.464,0.133,0.103,0.074]]	[0.225,0.464,0.133,0.103,0.074]	negative
1564	Yes, there is a gay market; there is also a lesbian market despite the fact that the word ''lesbian'' did not appear in your article.	[[0.196,0.608,0.174,0.013,0.008]]	[0.196,0.608,0.174,0.013,0.008]	negative
1565	Two women who a Navy board said had engaged in lesbian activities aboard the U.S.S. Norton Sound have been transferred off the vessel to other duties, the Navy says.	[[0.123,0.649,0.196,0.023,0.009]]	[0.123,0.649,0.196,0.023,0.009]	negative
1566	LEAD: ''A Night at the Moulin Rouge'' will be presented tonight at 8 at the Triplex, 199 Chambers Street (869-2922, or Teletron at 947-5850), by the Lesbian and Gay Big Apple Corps Symphonic Band and the Hot Lavender Swing Band, with the Wicked Step Sisters tap dancers.	[[0.316,0.523,0.136,0.015,0.01]]	[0.316,0.523,0.136,0.015,0.01]	negative
1567	LEAD: Is violence against gay men and lesbians rising?	[[0.064,0.52,0.357,0.047,0.012]]	[0.064,0.52,0.357,0.047,0.012]	negative
1568	LEAD: In an unusual outreach to homosexuals by a mainstream Christian church, the Episcopal Diocese of Newark opened a special ministry today to bring ''unchurched and embittered lesbians and gay people'' into a church program that accepts their sexual orientation.	[[0.118,0.493,0.265,0.092,0.033]]	[0.118,0.493,0.265,0.092,0.033]	negative
1569	Its chapters concern, for example, the arts (particularly movies and ballet) and homosexuality; aspects of friendship between male homosexuals and ''straight'' women, as well as lesbians; sexual politics; prison; bar life; transvestism and transsexualism; sadomasochism; old age and homosexuality; and a great deal more.	[[0.005,0.005,0.063,0.387,0.54]]	[0.005,0.005,0.063,0.387,0.54]	very positive
1570	LEAD: In a baby boom of unusual complexity, thousands of lesbians around the country are having children.	[[0.067,0.278,0.281,0.298,0.075]]	[0.067,0.278,0.281,0.298,0.075]	positive
1571	Variations on her story were told over and over this past weekend as 125 parents of homosexuals from all over the country gathered at the Roosevelt Hotel for the second annual convention of the Federation of Parents and Friends of Lesbians and Gays Inc.	[[0.149,0.624,0.184,0.029,0.014]]	[0.149,0.624,0.184,0.029,0.014]	negative
1572	The whole purpose,'' Fern H. Schwaber, a lawyer and one of the conference's sponsors, said in an interview, ''is to sensitize health care providers to the needs of the lesbian and gay communities and also to improve health care delivery services.''	[[0.082,0.186,0.141,0.422,0.169]]	[0.082,0.186,0.141,0.422,0.169]	positive
1573	LEAD: A two-day conference on gay and lesbian studies is to be held tomorrow at the Brooklyn College Student Center, Campus Road and East 27th Street in Flatbush, and on Saturday at the City University Graduate Center auditorium, 33 West 42d Street.	[[0.251,0.51,0.213,0.016,0.011]]	[0.251,0.51,0.213,0.016,0.011]	negative
1574	LEAD: As hundreds of protesters shouted ''Dump Koch,'' Mayor Edward I. Koch proclaimed the month of June as Lesbian and Gay Pride and History Month at a ceremony last night in Sheridan Square in Greenwich Village.	[[0.296,0.536,0.148,0.011,0.009]]	[0.296,0.536,0.148,0.011,0.009]	negative
1575	Saying it was a ''mistake'' for which she accepted full ''responsibility,'' Billie Jean King, the tennis player, conceded today that she had had a lesbian relationship with Marilyn Barnett, her former secretary. ''	[[0.161,0.512,0.27,0.038,0.018]]	[0.161,0.512,0.27,0.038,0.018]	negative
1576	A nadir of sorts was reached in the early 1970's when a television movie featured a gang of lesbian-toughs running an old-age home and sadistically beating up and even murdering the patients.	[[0.178,0.648,0.131,0.026,0.016]]	[0.178,0.648,0.131,0.026,0.016]	negative
1577	They had been found guilty of giving perjured testimony during Miss Parsons's unsuccessful libel suit against Sports Illustrated magazine, which reported in 1982 that Miss Parson was a lesbian who recruited players ''with sex in mind.''	[[0.101,0.568,0.307,0.018,0.007]]	[0.101,0.568,0.307,0.018,0.007]	negative
1578	LEAD: At the stroke of 3 o'clock yesterday, as marchers and spectators at the Gay/Lesbian Pride Parade fell silent along Fifth Avenue, a cloud of lavender and pink balloons rose from the steps of the New York Public Library, momentarily obscuring the library's stone lions and then dispersing in the breeze.	[[0.254,0.496,0.202,0.032,0.017]]	[0.254,0.496,0.202,0.032,0.017]	negative
1579	LEAD: About 100 advocates for gay and lesbian rights, shouting slogans and waving pink- and lavender-lettered signs, rallied outside the office of Yale University's president today to protest the arrest of nine men last week in a confrontation with campus and city police officers over a sexually explicit poster.	[[0.214,0.512,0.223,0.033,0.017]]	[0.214,0.512,0.223,0.033,0.017]	negative
1580	Four female soldiers at Fort McPherson were discharged from the Army for engaging in homosexual acts and charges of lesbianism against two others are pending, according to an Army spokesman.	[[0.333,0.582,0.054,0.011,0.02]]	[0.333,0.582,0.054,0.011,0.02]	negative
1581	But the enumeration of the included minorities omits a population estimated to be around 23 million Americans: the gay and lesbian Americans, many of whom are still denied job protections, housing, credit and adequate health care based solely on their sexual orientation.	[[0.163,0.702,0.121,0.009,0.005]]	[0.163,0.702,0.121,0.009,0.005]	negative
1582	An Army general testified today he was only following regulations in approving the dismissal of a sergeant who admitted being a lesbian. ''	[[0.074,0.474,0.374,0.062,0.016]]	[0.074,0.474,0.374,0.062,0.016]	negative
1583	A Superior Court judge in New Jersey has granted a lesbian mother custody of her two children, over the arguments of her former husband.	[[0.336,0.524,0.109,0.015,0.016]]	[0.336,0.524,0.109,0.015,0.016]	negative
1584	Gestures have a life of their own - an ''Elizabethan'' wave of the hand, for example, belongs first to the Queen, then to a socialite, then to Mona, a mail-order lesbian bride, making equal the essentially unequal.	[[0.141,0.526,0.233,0.069,0.03]]	[0.141,0.526,0.233,0.069,0.03]	negative
1585	The meeting, the First International Lesbian/Gay Health Conference, brought more than 700 people - physicians, psychologists, social workers, physical therapists, physicians' aides, nurses, students and homosexual activists, from the United States and a dozen foreign countries - to New York University's Loeb Student Center. ''	[[0.416,0.422,0.132,0.012,0.018]]	[0.416,0.422,0.132,0.012,0.018]	negative
1586	IT would be a most insecure male or dogmatic misogynist who, looking back at the past 20 years of the women's movement, would not concede the sensible moderation and practical fairness of the issues raised by the first feminist leaders, especially when compared to some of today's social developments - like lesbian adoption or sperm banks for single women - which may indeed make men feel unwanted and unneeded.	[[0.192,0.549,0.21,0.032,0.016]]	[0.192,0.549,0.21,0.032,0.016]	negative
1587	The book, published by a small, serious feminist and lesbian press in Tallahassee, Fla., is called ''Lesbian Nuns: Breaking Silence.''	[[0.057,0.58,0.352,0.009,0.002]]	[0.057,0.58,0.352,0.009,0.002]	negative
1588	The Vatican letter, stating that ''irrational and violent reactions'' to lesbians and gay men increase as the gay community seeks to secure its basic civil rights, falls just short of tacitly endorsing homophobic violence.	[[0.284,0.562,0.134,0.012,0.009]]	[0.284,0.562,0.134,0.012,0.009]	negative
1589	LEAD: Violence against gay men and lesbians continues to be ''alarmingly widespread,'' a national organization said yesterday in a report outlining more than 7,200 incidents of violence and verbal harassment against homosexuals around the country last year.	[[0.153,0.548,0.255,0.029,0.014]]	[0.153,0.548,0.255,0.029,0.014]	negative
1590	And impersonating an impeccably genteel ''lesbian recruiter,'' she intones the lyrics of ''My Girl'' in a mock television commercial for lesbianism.	[[0.12,0.634,0.123,0.099,0.024]]	[0.12,0.634,0.123,0.099,0.024]	negative
1591	The suit, by the Coalition for Lesbian and Gay Rights, challenges the constitutionality of rules that empower local health officials to close bathhouses, bars and other businesses where high-risk sex - defined as oral or anal intercourse - takes place.	[[0.137,0.551,0.229,0.058,0.025]]	[0.137,0.551,0.229,0.058,0.025]	negative
1592	The City Health Department said yesterday that the director of the Gay and Lesbian Health Concerns Program is resigning.	[[0.071,0.542,0.314,0.061,0.012]]	[0.071,0.542,0.314,0.061,0.012]	negative
1593	The charges stem from Miss Parsons's libel suit against Sports Illustrated magazine over an article, published a month after she resigned under pressure in January 1982, that described her as having had a lesbian relationship with at least one of her players.	[[0.151,0.605,0.2,0.03,0.013]]	[0.151,0.605,0.2,0.03,0.013]	negative
1594	A lawyer for the authority, Michael J. Greenfeld, said the charge had been raised in the past, but only against lesbian bars.	[[0.11,0.489,0.239,0.123,0.038]]	[0.11,0.489,0.239,0.123,0.038]	negative
1595	LEAD: A symposium on New York City gay and lesbian history and culture will be held Nov. 17 at the City University Graduate Center auditorium (lower level) at 33 West 42d Street.	[[0.154,0.559,0.224,0.043,0.02]]	[0.154,0.559,0.224,0.043,0.02]	negative
1596	''CHOOSING CHILDREN,'' a 45-minute documentary about lesbian mothers, and ''Breaking Silence,'' a 59-minute documentary about incest and child abuse, make up the program opening today at Film Forum.	[[0.188,0.711,0.087,0.009,0.005]]	[0.188,0.711,0.087,0.009,0.005]	negative
1597	One speaker at the International March and Conference for Lesbian and Gay Freedom was Sonia Johnson, who was excommunicated by the Mormon Church for her outspoken feminist views and now is the Presidential candidate for the Citizens Party.	[[0.264,0.594,0.11,0.016,0.016]]	[0.264,0.594,0.11,0.016,0.016]	negative
1598	In ''My Two Loves,'' tonight's movie on ABC at 9, a character contends that lesbians are this country's ''largest invisible minority.''	[[0.091,0.549,0.312,0.04,0.008]]	[0.091,0.549,0.312,0.04,0.008]	negative
1599	The Wolfenden Report recommended changing the law that made male homosexual acts punishable by imprisonment - lesbianism has never been illegal in Britain - and suggested that prostitution, which was not illegal, be allowed to continue.	[[0.232,0.588,0.163,0.009,0.008]]	[0.232,0.588,0.163,0.009,0.008]	negative
1600	ONE might think that an account of growing up lesbian in England during the 1920's would make a quaint tale of persecution, something remote and historical; but key aspects of Valentine Ackland's wispy yet trenchantly told story may be amply found in today's lesbian literature: the horror of parents when learning of their daughter's ''aberration,'' the pressures to conform, the threats and punishments, the need for secrecy, the flight of the daughter into some brief unhappy marriage or into drugs, alcohol, obsessive travel, indiscriminate sex - these are familiar contingencies described in any recent work of the genre.	[[0.081,0.496,0.333,0.069,0.02]]	[0.081,0.496,0.333,0.069,0.02]	negative
1601	The lesbian and the gay,'' the Rev. Jesse Jackson was telling the assembled thousands at the climax of the 1984 political season, were part of the '	[[0.064,0.564,0.294,0.067,0.012]]	[0.064,0.564,0.294,0.067,0.012]	negative
1602	A WOMAN I know is opposed to the Equal Rights Amendment because she is afraid that it will force her to share her bathroom with any unemployed lesbian who voted for Jimmy Carter or Gus Hall.	[[0.125,0.309,0.138,0.28,0.148]]	[0.125,0.309,0.138,0.28,0.148]	negative
1603	Last May the governing executive committee of Yale University put a sophomore on two years' probation for drawing and distributing a poster that satirized Yale's annual Gay and Lesbian Awareness Days.	[[0.077,0.651,0.23,0.035,0.007]]	[0.077,0.651,0.23,0.035,0.007]	negative
1604	The New York City Board of Education is operating the school in conjunction with the Institute for the Protection of Lesbian and Gay Youth.	[[0.094,0.666,0.213,0.021,0.007]]	[0.094,0.666,0.213,0.021,0.007]	negative
1605	The Navy's 19-month-old program of assigning women to American military ships, although generally considered a success, is troubled by a shortage of volunteers and other problems, ranging from hostility from some sailors' wives to instances of lesbian activity on some ships.	[[0.374,0.476,0.129,0.01,0.012]]	[0.374,0.476,0.129,0.01,0.012]	negative
1606	The case involved a Mexican writer, Juan Jacobo Hernandez, 43 years old, who was invited to be grand marshal of the Lesbian-Gay Freedom Parade in San Francisco on Sunday.	[[0.174,0.507,0.138,0.12,0.06]]	[0.174,0.507,0.138,0.12,0.06]	negative
1607	The fictional chapters, which alternate with the factual, send Lizzie on a trip to Europe, where she is seduced into a lesbian affair by a woman she meets in London.	[[0.242,0.6,0.131,0.014,0.013]]	[0.242,0.6,0.131,0.014,0.013]	negative
1608	LEAD: It might have looked like the average fraternity formal, but to the students in tuxedoes and evening gowns at the University of Illinois it was an ''Alternative Prom'' - a dance co-sponsored by the Lesbian and Gay Illini and the Illini Union Board, which organizes university-sponsored events.	[[0.193,0.533,0.231,0.028,0.015]]	[0.193,0.533,0.231,0.028,0.015]	negative
1609	Mrs. Messinger, a Manhattan Democrat, spoke to about 500 people at an organizational meeting of the Gay and Lesbian Anti-Defamation League at the Metropolitan-Duane Methodist Church in Greenwich Village.	[[0.185,0.651,0.134,0.017,0.013]]	[0.185,0.651,0.134,0.017,0.013]	negative
1610	LEAD: Leaders of gay- and lesbian-rights groups around New York State have expressed outrage over comments made last week by Peter L. Broderick, the Niagara County District Attorney, who called homosexuals ''queers'' and ''sick people'' and said they ought not to receive special consideration when they are victims of bias-related crimes.	[[0.156,0.544,0.265,0.023,0.012]]	[0.156,0.544,0.265,0.023,0.012]	negative
1611	The symposium is sponsored by the faculty Committee for Lesbian and Gay Studies at the school and will include a lecture on ''Creating Cul-tural Legacies'' and talks on the his-tory of lesbians in Cherry Grove, Fire Island, and of relations between the state and New York City gay bars.	[[0.289,0.586,0.112,0.006,0.006]]	[0.289,0.586,0.112,0.006,0.006]	negative
1612	At a news conference on the steps of St. Patrick's Cathedral at Fifth Avenue and 50th Street, spokesmen for the Coalition for Lesbian and Gay Rights accused Cardinal O'Connor of conducting ''an all-out war'' against the bill.	[[0.202,0.603,0.177,0.011,0.007]]	[0.202,0.603,0.177,0.011,0.007]	negative
1613	To the Editor: The Vatican letter to Roman Catholic bishops about homosexuality (news story, Oct. 31) is a document that may do much to alter the environment encountered by lesbians and gay men throughout this country and around the world.	[[0.113,0.674,0.187,0.019,0.007]]	[0.113,0.674,0.187,0.019,0.007]	negative
1614	A lesbian, the only other ''single'' in a colony of couples, invites her to a party.	[[0.147,0.608,0.172,0.047,0.025]]	[0.147,0.608,0.172,0.047,0.025]	negative
1615	A woman who alleged that she had had a lesbian relationship for seven years with Billie Jean King, the professional tennis player, filed a lawsuit here yesterday contending that she was entitled to share in Mrs. King's assets because of the relationship.	[[0.1,0.426,0.258,0.188,0.029]]	[0.1,0.426,0.258,0.188,0.029]	negative
1616	A Yale University student who was disciplined earlier this year for violating university regulations by distributing a poster satirizing the university's annual Gay and Lesbian Awareness Days was cleared in a rehearing of the case yesterday.	[[0.096,0.657,0.206,0.031,0.01]]	[0.096,0.657,0.206,0.031,0.01]	negative
1617	In Vi Bremen's ''And Baby Makes Seven,'' a male homosexual and two lesbians, one of them pregnant, share a menage that is centered on a hyperactive fantasy life.	[[0.05,0.248,0.298,0.351,0.053]]	[0.05,0.248,0.298,0.351,0.053]	positive
1618	When Cher was chosen for her ''Silkwood'' role as Dolly Pelliker, the blue-collar, lesbian friend of Meryl Streep in the lead role of Karen Silkwood, Mr. Nichols said it was her ''vitality, humor and surprising depth'' that won her the role.	[[0.043,0.086,0.182,0.588,0.102]]	[0.043,0.086,0.182,0.588,0.102]	positive
1619	The magazine had published an article saying that Miss Parsons's resignation in 1981 followed university officials' confronting her about a lesbian relationship that she had reportedly had with one of her players.	[[0.111,0.615,0.222,0.039,0.013]]	[0.111,0.615,0.222,0.039,0.013]	negative
1620	A state-appointed commission has urged Massachusetts to reverse its policy of not placing foster children in the care of homosexual and lesbian couples or single people.	[[0.167,0.544,0.181,0.071,0.036]]	[0.167,0.544,0.181,0.071,0.036]	negative
1621	LEAD: Manhattan Borough President David N. Dinkins yesterday accepted the endorsement of two gay political groups in his race for the Democratic mayoral nomination, saying he would fight for legal recognition of gay and lesbian domestic partnerships.	[[0.14,0.638,0.2,0.015,0.007]]	[0.14,0.638,0.2,0.015,0.007]	negative
1622	A vigil in New York coincided with the second annual convention of the Federation of Parents and Friends of Lesbians and Gays, which ends tonight in Manhattan.	[[0.17,0.632,0.164,0.023,0.012]]	[0.17,0.632,0.164,0.023,0.012]	negative
1623	Tens of thousands of people followed a lavender stripe down Fifth Avenue yesterday as they cheered, chanted and danced in the 16th annual Lesbian/ Gay Pride Day parade.	[[0.085,0.344,0.248,0.247,0.077]]	[0.085,0.344,0.248,0.247,0.077]	negative
1624	The board of directors of the Women's Tennis Association urged Billie Jean King yesterday to remain as president despite her acknowledgment that she had had a lesbian relationship with Marilyn Barnett, her former secretary, who has sued Mrs. King for a property settlement.	[[0.093,0.633,0.222,0.042,0.01]]	[0.093,0.633,0.222,0.042,0.01]	negative
1625	The annual Gay and Lesbian Pride March coursed through Manhattan yesterday in a buoyant celebration by tens of thousands of participants.	[[0.02,0.067,0.163,0.602,0.147]]	[0.02,0.067,0.163,0.602,0.147]	positive
1626	LEAD: Today, when the ''Center Show'' opens at the Lesbian and Gay Community Services Center in Greenwich Village, the drab three-story building will be transformed by art.	[[0.211,0.598,0.164,0.015,0.012]]	[0.211,0.598,0.164,0.015,0.012]	negative
1627	Sporting lavender bulldog pins, these Yalies were members of a new organization, Yale Gay and Lesbian Alumni, or Gala.	[[0.16,0.623,0.177,0.024,0.016]]	[0.16,0.623,0.177,0.024,0.016]	negative
1628	LEAD: Literature, lesbianism, psychiatry, film making, television and video cassettes were all touched upon in United States District Court today as a $6 million libel suit opened here.	[[0.01,0.016,0.067,0.563,0.345]]	[0.01,0.016,0.067,0.563,0.345]	positive
1629	This system guarantees representation on the party's standing committees to such subgroups of the national committee as the minority caucuses, the Women's Caucus, the Liberal-Progressive Caucus and the Lesbian and Gay Caucus.	[[0.204,0.668,0.109,0.013,0.006]]	[0.204,0.668,0.109,0.013,0.006]	negative
1630	To the Editor: Your May 3 editorial ''Amending the Homosexual Rights Law'' sings the praises of Intro 576, an amendment to New York City's gay and lesbian rights law which would explicitly allow landlords in owner-occupied dwellings of up to four units to refuse to rent to gays and lesbians.	[[0.17,0.632,0.182,0.01,0.006]]	[0.17,0.632,0.182,0.01,0.006]	negative
1631	Miss Epstein's character is a lesbian, Miss Cantwell's a heterosexual, and each in her own way is mired in an unrequited affair of the heart.	[[0.333,0.489,0.105,0.027,0.044]]	[0.333,0.489,0.105,0.027,0.044]	negative
1632	It's probably no great surprise that even a collection of work as specialized as one devoted to contemporary feminist women writers of Catalonia could bring together such characters as a vagabond, a lapsed lesbian and a woman who says her rosary during sex.	[[0.208,0.562,0.174,0.037,0.019]]	[0.208,0.562,0.174,0.037,0.019]	negative
1633	LEAD: For 14 years homosexual and lesbian advocates in Massachusetts have been promoting, without success, the passage of a rights bill that would assure equal access to housing, employment and credit, regardless of sexual preference.	[[0.213,0.607,0.146,0.021,0.012]]	[0.213,0.607,0.146,0.021,0.012]	negative
1634	Citing ''an already strong relationship between my administration and gay and lesbian New Yorkers,'' Mr. Koch said Ms.	[[0.037,0.373,0.498,0.08,0.012]]	[0.037,0.373,0.498,0.08,0.012]	neutral
1635	Miss Chambers, a resident of Greenport, has been spending most of her evenings of late at the Actors' Playhouse in Greenwich Village, where her play, ''Last Summer at Bluefish Cove,'' which is billed as ''a lesbian love story,'' recently opened.	[[0.351,0.452,0.141,0.026,0.029]]	[0.351,0.452,0.141,0.026,0.029]	negative
1636	SAN JOSE, Calif., March 31 After four days of disunity, the first National Hispanic Feminist Conference ended this afternoon with nearly 1,000 women of Cuban, Puerto Rican, Latin American and Mexican ancestry voting to support such issues as abortion, lesbian rights and the independence of Puerto Rico.	[[0.437,0.446,0.08,0.014,0.022]]	[0.437,0.446,0.08,0.014,0.022]	negative
1637	LEAD: The Evening Hours column on the Style page last Friday misidentified the beneficiary of a party at the Lesbian and Gay Community Services Center on West 13th Street.	[[0.084,0.482,0.364,0.053,0.017]]	[0.084,0.482,0.364,0.053,0.017]	negative
1638	A part-time instructor at California State University at Long Beach, suspended for promoting lesbianism in a women's studies class, will be allowed to return in a new assignment.	[[0.46,0.447,0.072,0.007,0.015]]	[0.46,0.447,0.072,0.007,0.015]	very negative
1639	In it are the accounts of how 51 women, 42 of them former Roman Catholic nuns and nine who are still bound by their vows, came to grips with their lesbianism.	[[0.093,0.618,0.233,0.046,0.01]]	[0.093,0.618,0.233,0.046,0.01]	negative
1640	Edited by two college teachers who are lesbians and former nuns, the book was just reaching store shelves almost a month ago, when the Rev. Peter Conley, spokesman for the Roman Catholic Archdiocese of Boston, learned of it.	[[0.199,0.6,0.169,0.02,0.012]]	[0.199,0.6,0.169,0.02,0.012]	negative
1641	I suppose I could pass up Denver's fabled gay beer bust, if it didn't mean missing the music of the 100-member Gay and Lesbian Community Center Kazoo Band.	[[0.175,0.607,0.165,0.038,0.015]]	[0.175,0.607,0.165,0.038,0.015]	negative
1642	Mr. Bauman, speaking at a special seminar nearby, said, ''I am here to express my unqualified support for Federal legislation extending civil rights protection to the 20 million gay and lesbian Americans who are my brothers and sisters.''	[[0.316,0.509,0.143,0.016,0.016]]	[0.316,0.509,0.143,0.016,0.016]	negative
1643	JANE CHAMBERS is a playwright who speaks for the cause of women in general and lesbians in particular.	[[0.077,0.428,0.302,0.154,0.039]]	[0.077,0.428,0.302,0.154,0.039]	negative
1644	It included the psychological speculation of clinicians, whom it did not identify, that children of lesbian parents might develop problems in intimate relationships or sexual identity.	[[0.192,0.549,0.214,0.032,0.014]]	[0.192,0.549,0.214,0.032,0.014]	negative
1645	The Navy said today that it would discharge a sailor despite her acquittal by a three-member board that investigated allegations that she had had a lesbian affair with another sailor.	[[0.141,0.605,0.2,0.04,0.015]]	[0.141,0.605,0.2,0.04,0.015]	negative
1646	The chairman, Senator Manfred Ohrenstein of Manhattan, the State Senate majority leader, said he acted with ''deep personal regret'' after Mr. Glenn had ''called into question his otherwise superb record on civil and human rights by engaging in a prolonged debate on lesbian and gay rights.''	[[0.149,0.511,0.186,0.101,0.053]]	[0.149,0.511,0.186,0.101,0.053]	negative
