id	context	predictions	aggregatedPredictions	category
4142	To some people, it might seem a curious leap from being publisher of Publishers Weekly to publisher of Out, a gay magazine.	[[0.097,0.674,0.21,0.014,0.005]]	[0.097,0.674,0.21,0.014,0.005]	negative
4143	Contributions in Irving's memory may be made to: Congregation Beth Simchat Torah or New York City's Gay and Lesbian Community Services Center.	[[0.165,0.645,0.155,0.022,0.013]]	[0.165,0.645,0.155,0.022,0.013]	negative
4144	Ms. Thornton and her former romantic partner, who are lesbians, each conceived one of the boys with sperm from the same gay friend, and she told him that if he ever wanted to have and rear a child himself, ''you just say 'boo.' ''	[[0.161,0.768,0.066,0.003,0.002]]	[0.161,0.768,0.066,0.003,0.002]	negative
4145	Mr. Nelson, a 31-year-old alderman in Carrboro, N.C., was one of the first to be greeted by Secret Service officers wearing gloves when he arrived at a White House briefing for gay elected officials last week.	[[0.22,0.592,0.14,0.027,0.021]]	[0.22,0.592,0.14,0.027,0.021]	negative
4146	Most of the anti-gay-rights voter initiatives now circulating in a dozen states seek to drive a whole class of citizens, homosexuals, from access to political protection.	[[0.059,0.527,0.363,0.042,0.008]]	[0.059,0.527,0.363,0.042,0.008]	negative
4147	Last week's votes in the Senate -- on a measure permitting states not to recognize gay marriages legally performed in another state and on one to prohibit job discrimination on the basis of sexual orientation -- were a clear illustration of the country's variegated view of homosexuality.	[[0.115,0.664,0.184,0.027,0.011]]	[0.115,0.664,0.184,0.027,0.011]	negative
4148	And the gesture was not lost on the leaders of the gay community who joined Ms. Glick in savoring the history of the moment.	[[0.08,0.646,0.212,0.053,0.01]]	[0.08,0.646,0.212,0.053,0.01]	negative
4149	So the task two Yale-educated sisters have set for themselves, to take their year-old gay and lesbian greeting card company mainstream, should be daunting.	[[0.166,0.701,0.11,0.016,0.007]]	[0.166,0.701,0.11,0.016,0.007]	negative
4150	The suit, which seeks $1.5 million in damages, will be brought by the American Civil Liberties Union's Lesbian and Gay Rights Project and the New York Civil Liberties Union.	[[0.165,0.599,0.174,0.042,0.02]]	[0.165,0.599,0.174,0.042,0.02]	negative
4151	The 1911 warehouse, which stood vacant over the last decade and became a neighborhood eyesore, is in the process of becoming an integral part of the gay and lesbian community.	[[0.283,0.598,0.087,0.016,0.016]]	[0.283,0.598,0.087,0.016,0.016]	negative
4152	Five years ago, Berkeley, Calif., became the first American municipality to offer medical benefits to the live-in partners -- both gay and heterosexual -- of unmarried employees.	[[0.153,0.726,0.104,0.011,0.006]]	[0.153,0.726,0.104,0.011,0.006]	negative
4153	Although the ruling carries no weight beyond Wyoming, some legal experts and gay rights advocates said it amounted to a political victory for gay men and lesbians at a time when more defense lawyers are using the strategy of casting the defendant as victim -- with some success -- to obtain lighter sentences.	[[0.255,0.489,0.234,0.013,0.008]]	[0.255,0.489,0.234,0.013,0.008]	negative
4154	So far all discussions have been behind the scenes, as the parties involved try to avoid the sort of wrenching public debate that arose in recent years when a gay group tried to join the St. Patrick's Day Parade.	[[0.138,0.686,0.148,0.021,0.007]]	[0.138,0.686,0.148,0.021,0.007]	negative
4155	Three Colorado cities, gay and lesbian groups and the American Civil Liberties Union are suing in Federal court to overturn the anti-gay-rights measure passed by Colorado voters last week, arguing that it violates the Constitution's guarantee of equal treatment under the law.	[[0.392,0.488,0.106,0.005,0.01]]	[0.392,0.488,0.106,0.005,0.01]	negative
4156	"For a gay man friends are everything; it's not like we have kids and families."	[[0.069,0.265,0.255,0.334,0.077]]	[0.069,0.265,0.255,0.334,0.077]	positive
4157	And at Out's recent party celebrating its annual list of America's 100 most influential gay men and lesbians, Henry E. Scott, the president of Out Publishing Inc., praised Ms. Pettit for making the magazine a success.	[[0.111,0.537,0.094,0.217,0.041]]	[0.111,0.537,0.094,0.217,0.041]	negative
4158	''It's Gay Awareness Week!''	[[0.026,0.19,0.393,0.361,0.03]]	[0.026,0.19,0.393,0.361,0.03]	neutral
4159	The gay community is given a golden opportunity to make a positive statement about itself and its ideals and values.	[[0.008,0.019,0.108,0.69,0.175]]	[0.008,0.019,0.108,0.69,0.175]	positive
4160	A Different Light, which caters to gay and lesbian readers and is part full-service bookstore and part community center, opened quietly in Los Angeles 14 years ago, carrying fewer than 1,000 titles and finishing its first year with a modest $38,500 in gross sales.	[[0.096,0.203,0.145,0.332,0.223]]	[0.096,0.203,0.145,0.332,0.223]	positive
4161	But for months, Senators James Inhofe of Oklahoma, Tim Hutchinson of Arkansas and Robert Smith of New Hampshire have been blocking a vote on the nomination, making dark suggestions about Mr. Hormel's gay-rights ''agenda,'' as if he might somehow seek to lead the moral standards of Luxembourg astray.	[[0.192,0.665,0.128,0.01,0.005]]	[0.192,0.665,0.128,0.01,0.005]	negative
4162	The Clinton Administration argued in a court brief today that the old Pentagon ban on homosexuals was constitutional and indicated that it would continue fighting for the discharge of a gay sailor.	[[0.163,0.658,0.149,0.019,0.011]]	[0.163,0.658,0.149,0.019,0.011]	negative
4163	That amendment to the State Constitution not only repealed gay rights ordinances in three cities; it barred the state and every locality from enacting any law that might let homosexuals or lesbians claim discrimination.	[[0.309,0.577,0.102,0.005,0.007]]	[0.309,0.577,0.102,0.005,0.007]	negative
4164	One afternoon at the beach with a girlfriend, Sayoko suddenly realizes that they are sitting in the middle of a sort of gay enclave.	[[0.068,0.486,0.317,0.108,0.022]]	[0.068,0.486,0.317,0.108,0.022]	negative
4165	Although they lost several major allies and face a far more conservative and hostile Congress, lesbian and gay political leaders say that last week's election was not a repudiation by voters of the gay rights movement.	[[0.242,0.496,0.219,0.031,0.012]]	[0.242,0.496,0.219,0.031,0.012]	negative
4166	A CONFERENCE of gay trade unionists was just one of hundreds of events last June organized to coincide with the 25th anniversary of the Stonewall rebellion, the 1969 clash between the New York City Police and the patrons of a Greenwich Village gay bar that is generally regarded as the birth of the modern gay rights movement.	[[0.206,0.59,0.167,0.023,0.014]]	[0.206,0.59,0.167,0.023,0.014]	negative
4167	Advertising spending in publications aimed at gay and lesbian consumers rose for a fourth consecutive year, an annual survey reported.	[[0.122,0.684,0.146,0.033,0.015]]	[0.122,0.684,0.146,0.033,0.015]	negative
4168	The Department of Health and Human Services, during the Reagan years, commissioned the 1989 "Report on Youth Suicide," which found that of all suicides each year by people 15 to 24 years old, fully 30 percent are gay and lesbian youth.	[[0.425,0.467,0.089,0.007,0.012]]	[0.425,0.467,0.089,0.007,0.012]	negative
4169	Although top courts in other states have struck down similar laws, the ruling today held special symbolic meaning for gay rights advocates because it was Georgia's anti-sodomy law that had prompted the United States Supreme Court to declare that ''the Constitution does not confer a fundamental right upon homosexuals to engage in sodomy.''	[[0.063,0.591,0.298,0.04,0.007]]	[0.063,0.591,0.298,0.04,0.007]	negative
4170	AN advocate of gay rights muses on his "point of origin swimming upstream as a queer spermlet."	[[0.136,0.802,0.055,0.004,0.003]]	[0.136,0.802,0.055,0.004,0.003]	negative
4171	A 21-year-old college student pleaded guilty yesterday to fatally stabbing a gay man in Queens in what prosecutors termed a vicious burst of anti-homosexual violence.	[[0.223,0.57,0.182,0.015,0.01]]	[0.223,0.57,0.182,0.015,0.01]	negative
4172	Angered by their exclusion from parades celebrating India's and Pakistan's independence from British rule, some gay and lesbian South Asians plan to demonstrate and celebrate on the sidelines this month.	[[0.256,0.617,0.11,0.008,0.009]]	[0.256,0.617,0.11,0.008,0.009]	negative
4173	Eigil Axgil, whose lifelong crusade for gay rights made Denmark the first country in the world to allow same-sex marriages, has died at 71, a newspaper reported today.	[[0.332,0.573,0.075,0.009,0.012]]	[0.332,0.573,0.075,0.009,0.012]	negative
4174	There was plenty of toplessness in the annual Lesbian and Gay Pride March, but little involved women.	[[0.11,0.612,0.202,0.064,0.012]]	[0.11,0.612,0.202,0.064,0.012]	negative
4175	To the Editor: While the call by Gay Men's Health Crisis for reporting H.I.V.-positive people to the New York State Health Department is significant (front page, Jan. 13), it does not represent a ''collapse'' in consensus against H.I.V. reporting.	[[0.181,0.614,0.186,0.012,0.007]]	[0.181,0.614,0.186,0.012,0.007]	negative
4176	Mayor David Dinkins hoped to get the gay group included by authorizing the state chapter of the Hibernians to sponsor the parade instead of the traditional Manhattan chapter.	[[0.109,0.562,0.253,0.057,0.019]]	[0.109,0.562,0.253,0.057,0.019]	negative
4177	Three weeks after she moved out, her husband, John R. Selig, told her and their 12-year-old son that he was gay.	[[0.049,0.329,0.274,0.303,0.044]]	[0.049,0.329,0.274,0.303,0.044]	negative
4178	If a new television campaign by Parents, Families and Friends of Lesbians and Gays had only its dramatic scenes -- a teen-age girl contemplating suicide with a handgun and a young man being beaten by a gang as the attackers shout slurs -- it would be controversial enough.	[[0.18,0.564,0.216,0.028,0.012]]	[0.18,0.564,0.216,0.028,0.012]	negative
4179	In recent years the Fire Island Morning Party -- the summer fund-raiser of the Gay Men's Health Crisis -- has become part of ''the Circuit,'' a series of swank parties around the country that attract affluent gay men but that have also become synonymous with drug use.	[[0.098,0.682,0.139,0.067,0.014]]	[0.098,0.682,0.139,0.067,0.014]	negative
4180	A Connecticut legislator revealed that he was gay at a rally at the Capitol today, then said later that he had not planned to do so and had felt pushed into it by organizers of the event.	[[0.205,0.602,0.144,0.03,0.02]]	[0.205,0.602,0.144,0.03,0.02]	negative
4181	The calls opposing gays in the military were reported as though the issue were a horse with a bum leg in the fifth race at Aqueduct.	[[0.149,0.616,0.19,0.031,0.013]]	[0.149,0.616,0.19,0.031,0.013]	negative
4182	They are AMY ASHWORTH of Manhattan, former executive director of the New York City Parents and Friends of Lesbians and Gays and former regional director of the organization's national federation; CHRISTIAN HAREN of San Francisco, a onetime "Marlboro Man" model who has AIDS and who started two innovative AIDS-education classroom programs; GRACIELA I. SANCHEZ of San Antonio, executive director of the Esperanza Peace and Justice Center and producer of a film about gays in Cuba called "Not Because Fidel Castro Says So," and AL WARDELL of Chicago, a former chairman of the Illinois Gay and Lesbian Task Force.	[[0.613,0.304,0.071,0.003,0.01]]	[0.613,0.304,0.071,0.003,0.01]	very negative
4183	A cross-dressing guitar-and-ukulele country duo, they searched for their niche in West Village theaters, midtown country bars and East Village gay clubs.	[[0.16,0.583,0.233,0.014,0.011]]	[0.16,0.583,0.233,0.014,0.011]	negative
4184	Many groups are boycotting Colorado because of a proposal there to bar laws that protect the rights of gay men and lesbians.	[[0.109,0.622,0.211,0.045,0.013]]	[0.109,0.622,0.211,0.045,0.013]	negative
4185	In a growing crackdown on gay sex outlets, city officials have closed the New King Cinema, 356 West 44th Street, saying that the pornographic movie theater, like three others shuttered since February, was a setting for many acts of high-risk sex among the male patrons.	[[0.11,0.66,0.192,0.03,0.008]]	[0.11,0.66,0.192,0.03,0.008]	negative
4186	The store holds about 3,000 titles on hand, in categories ranging from sexuality and gender studies to gay and lesbian psychology to gerontology, old age and Alzheimer's disease.	[[0.127,0.602,0.214,0.041,0.016]]	[0.127,0.602,0.214,0.041,0.016]	negative
4187	To the Editor: Brent Staples (Editorial Observer, Nov. 8) criticizes President Clinton's approach to gays in the military for failing to imitate Harry Truman's executive order banning race discrimination in the military.	[[0.222,0.58,0.185,0.007,0.006]]	[0.222,0.58,0.185,0.007,0.006]	negative
4188	A Queens man took the witness stand yesterday to testify that he and two friends hunted through the streets of Jackson Heights on a summer night for "a drug dealer or a drug addict or a homo out cruising" to beat, a hunt that ended when he stabbed a man to death "because he was gay."	[[0.108,0.543,0.259,0.069,0.021]]	[0.108,0.543,0.259,0.069,0.021]	negative
4189	A small Lutheran congregation here, already suspended for ordaining a gay man, has further defied its national governing body by making that minister its pastor.	[[0.347,0.523,0.088,0.017,0.024]]	[0.347,0.523,0.088,0.017,0.024]	negative
4190	After years of being distributed without charge in bars and being dependent on sexually oriented advertisements for revenues, gay publications are changing their images and aspirations.	[[0.177,0.575,0.202,0.033,0.013]]	[0.177,0.575,0.202,0.033,0.013]	negative
4191	The fear and shadows that have long dominated gay life in this East Texas city deepened three weeks ago when a group of men abducted a 23-year-old homosexual named Nicholas West from the park, drove him down a rural road and shot him to death.	[[0.223,0.618,0.147,0.006,0.006]]	[0.223,0.618,0.147,0.006,0.006]	negative
4192	In the civilian world, gay-rights advocates and traditionalists alike are faulting the President's "don't ask, don't tell, don't pursue" policy, which was issued on Monday.	[[0.124,0.762,0.095,0.014,0.004]]	[0.124,0.762,0.095,0.014,0.004]	negative
4193	After many years of extraordinary progress, lesbians and gays are marching on the edge of an abyss.	[[0.079,0.401,0.15,0.284,0.085]]	[0.079,0.401,0.15,0.284,0.085]	negative
4194	Ever since the mid-80's -- after unprotected anal intercourse was identified as the primary means of H.I.V. transmission among gay men -- hundreds of thousands of us have modified our sexual behavior to curb the spread of this epidemic.	[[0.128,0.713,0.128,0.023,0.008]]	[0.128,0.713,0.128,0.023,0.008]	negative
4195	The gay population in America bedevils the bean-counters.	[[0.088,0.469,0.312,0.102,0.029]]	[0.088,0.469,0.312,0.102,0.029]	negative
4196	Contributions in his memory may be made to the Lesbian and Gay Rights Project, American Civil Liberties Union, 125 Broad St., New York, New York 10004.	[[0.263,0.56,0.141,0.021,0.014]]	[0.263,0.56,0.141,0.021,0.014]	negative
4197	Bruce Bawer, a cultural critic, is disturbed by the message he says militant gay-rights demonstrators send to the public with their exhibitionist and confrontational activities.	[[0.231,0.489,0.171,0.063,0.046]]	[0.231,0.489,0.171,0.063,0.046]	negative
4198	Gay Republicans said they sometimes faced greater hostility from other homosexuals than from other party members, although attention has recently focused on Republican leaders' antagonism.	[[0.084,0.558,0.302,0.044,0.013]]	[0.084,0.558,0.302,0.044,0.013]	negative
4199	To the Editor: ''Ellen and 'Ellen' Come Out'' (editorial, May 1) manages to insult lesbian and gay people even as it purports to praise Ellen DeGeneres and the coming-out episode of her show, ''Ellen.''	[[0.125,0.623,0.213,0.03,0.01]]	[0.125,0.623,0.213,0.03,0.01]	negative
4200	The Morning Party, an annual gay dance at the edge of the Atlantic, draws thousands to Fire Island Pines, long the summer retreat of the well-heeled and well-groomed, a community of gray-shingled homes nestled in dense woods where the likes of the entertainment mogul David Geffen stroll the boardwalk.	[[0.446,0.439,0.084,0.009,0.021]]	[0.446,0.439,0.084,0.009,0.021]	very negative
4201	To the Editor: In a landmark decision this month, an immigration judge in San Francisco granted political asylum to a Brazilian gay man.	[[0.122,0.656,0.201,0.014,0.006]]	[0.122,0.656,0.201,0.014,0.006]	negative
4202	I am heartened that such artistic endeavors are taking place but distressed that they are seemingly being done without gay actors in their leading roles.	[[0.143,0.566,0.189,0.074,0.028]]	[0.143,0.566,0.189,0.074,0.028]	negative
4203	"I don't hate homosexuals," said Mr. Perkins, a car dealer who initiated the anti-gay-rights measure, Amendment 2, in Colorado.	[[0.114,0.574,0.188,0.099,0.025]]	[0.114,0.574,0.188,0.099,0.025]	negative
4204	To be granted the permit from the New York City Police Department, the traditional group, the Manhattan chapter of the Ancient Order of Hibernians, would have to successfully appeal a city Human Rights Commission order that it include the Irish Lesbian and Gay Organization in the March 17 parade up Fifth Avenue.	[[0.22,0.58,0.179,0.013,0.007]]	[0.22,0.58,0.179,0.013,0.007]	negative
4205	Without any of the fanfare that had been expected, Gov. William F. Weld quietly signed into a law last week a bill that makes Massachusetts the first state in the country to outlaw discrimination against gay and lesbian students in public schools.	[[0.228,0.605,0.151,0.009,0.006]]	[0.228,0.605,0.151,0.009,0.006]	negative
4206	METRO DIGEST NEW YORK CITY GAY PARADE BOTH FESTIVE AND SOMBER Walking arm-in-arm, thousands of gay and lesbian marchers streamed down Fifth Avenue for the annual Gay Pride parade, a celebration of sexual freedom and tolerance.	[[0.466,0.421,0.083,0.013,0.017]]	[0.466,0.421,0.083,0.013,0.017]	very negative
4207	Gay soldiers and sailors are threatened with the prospect of being beaten, even murdered.	[[0.075,0.557,0.3,0.054,0.013]]	[0.075,0.557,0.3,0.054,0.013]	negative
4208	Gay men identified themselves with code words, he said.	[[0.015,0.137,0.577,0.255,0.016]]	[0.015,0.137,0.577,0.255,0.016]	neutral
4209	Ending a lengthy and caustic debate, leaders of the nation's largest gay and lesbian lobbying organization voted yesterday to endorse Senator Alfonse M. D'Amato for re-election, rejecting appeals from the White House and New York gay leaders to support Mr. D'Amato's Democratic challenger this year, Representative Charles E. Schumer.	[[0.255,0.604,0.124,0.008,0.009]]	[0.255,0.604,0.124,0.008,0.009]	negative
4210	Mr. Riggs, who died of AIDS last year at the age of 37, was not only black but gay, having gained national attention when "Tongues Untied," his celebration of black gay sexuality, was attacked by the right.	[[0.443,0.451,0.086,0.008,0.013]]	[0.443,0.451,0.086,0.008,0.013]	negative
4211	Nothing else quite like it has ever been built: a permanent research center devoted to gay and lesbian culture, incorporated in a major municipal institution from the outset.	[[0.417,0.495,0.076,0.004,0.008]]	[0.417,0.495,0.076,0.004,0.008]	negative
4212	The American Telephone and Telegraph Corporation has designated a week in June as Gay Awareness Week.	[[0.099,0.625,0.225,0.04,0.012]]	[0.099,0.625,0.225,0.04,0.012]	negative
