id	context	predictions	aggregatedPredictions	category
13	He wrote on dance and music for The New York Times, The Los Angeles Times, The Washington Post, The Village Voice and The Advocate, a publication devoted to news about the gay community.	[[0.078,0.388,0.203,0.269,0.063]]	[0.078,0.388,0.203,0.269,0.063]	negative
14	There's no question that AIDS has frightened p eople in the gay community and that many are cutting down on the n umber of partners and the number of sexual contacts,'' said Yehudi M .	[[0.165,0.548,0.195,0.069,0.023]]	[0.165,0.548,0.195,0.069,0.023]	negative
15	Its general attitude and specific language endanger both the emotional and physical safety of the entire gay community.	[[0.017,0.077,0.404,0.447,0.054]]	[0.017,0.077,0.404,0.447,0.054]	positive
16	The Vatican letter, stating that ''irrational and violent reactions'' to lesbians and gay men increase as the gay community seeks to secure its basic civil rights, falls just short of tacitly endorsing homophobic violence.	[[0.284,0.562,0.134,0.012,0.009]]	[0.284,0.562,0.134,0.012,0.009]	negative
17	To the Editor: David M. Wertheimer (letter Nov. 8), in commenting on the Holy See's recent Letter to the Bishops of the Catholic Church on the Pastoral Care of Homosexual Persons, alleges that the letter's ''general attitude and specific language endanger both the emotional and physical safety of the entire gay community.''	[[0.193,0.61,0.168,0.021,0.008]]	[0.193,0.61,0.168,0.021,0.008]	negative
18	LEAD: Members of San Francisco's gay community contend that the authorities' response to a slaying here has demonstrated that the American judicial system often devalues the lives of homosexuals.	[[0.093,0.475,0.301,0.1,0.03]]	[0.093,0.475,0.301,0.1,0.03]	negative
19	THE Justice Department's conclusion that Section 504 of the Rehabilitation Act of 1973 does not prohibit discrimination based on actual or perceived capacity to transmit AIDS to others has been assailed as legally or medically flawed, mean-spirited, and antagonistic toward the gay community.	[[0.516,0.339,0.122,0.012,0.012]]	[0.516,0.339,0.122,0.012,0.012]	very negative
20	LEAD: Two Yale police officers disciplined for their handling of a confrontation at a gay studies conference were made scapegoats to appease the gay community, the Yale police union asserted Tuesday.	[[0.175,0.678,0.125,0.013,0.01]]	[0.175,0.678,0.125,0.013,0.01]	negative
21	But this segment of the market is not necessarily congruent with the out-of-thecloset gays, and certainly not with those who have fought and struggled for the application of the American Constitution to the gay community.	[[0.116,0.665,0.183,0.027,0.009]]	[0.116,0.665,0.183,0.027,0.009]	negative
22	LEAD: The Evening Hours column on the Style page last Friday misidentified the beneficiary of a party at the Lesbian and Gay Community Services Center on West 13th Street.	[[0.084,0.482,0.364,0.053,0.017]]	[0.084,0.482,0.364,0.053,0.017]	negative
23	Many of us in the gay community and in the AIDS service community have long cried out for coverage that goes beyond superficiality and sensationalism.	[[0.238,0.619,0.115,0.019,0.01]]	[0.238,0.619,0.115,0.019,0.01]	negative
24	It also gave an incorrect address for the Gay Community Services Center, where the Governor spoke.	[[0.27,0.56,0.158,0.007,0.005]]	[0.27,0.56,0.158,0.007,0.005]	negative
25	For those of us who are not part of the gay community, AIDS suddenly became not just a bunch of statistics, but a person.	[[0.071,0.619,0.24,0.06,0.01]]	[0.071,0.619,0.24,0.06,0.01]	negative
26	The outcome is uncertain, but two things are clear: The Moral Majority will stop at nothing to make scapegoats of gay people, and the gay community is becoming more united as a result.	[[0.326,0.543,0.103,0.012,0.016]]	[0.326,0.543,0.103,0.012,0.016]	negative
27	The Episcopal Church, most mainline Protestant denominations and many Jewish groups stand strongly behind the gay community on the issue of gay rights.	[[0.215,0.512,0.12,0.089,0.063]]	[0.215,0.512,0.12,0.089,0.063]	negative
