id	context	predictions	aggregatedPredictions	category
38	The 9-to-0 ruling gave a transsexual Federal prisoner whose suit against prison officials was dismissed by two lower courts a chance to show at trial that the beatings and rapes he suffered at the Federal penitentiary at Terre Haute, Ind., were the result of officials' "deliberate indifference" to his need for special protection.	[[0.169,0.638,0.162,0.019,0.011]]	[0.169,0.638,0.162,0.019,0.011]	negative
39	Her boyfriend, Joe (Michael Massee), is a sulkily handsome female-to-male transsexual who handles a cigarette with the intense self-consciousness of James Dean in "Rebel Without a Cause."	[[0.178,0.462,0.17,0.118,0.072]]	[0.178,0.462,0.17,0.118,0.072]	negative
40	How can it be that in the same week that Israel's Prime Minister, Benjamin Netanyahu, comes to Washington to face a U.S.-imposed deadline on the peace process, the Israeli public is far more interested in the fact that an Israeli transsexual diva won the Eurovision song contest?	[[0.057,0.418,0.494,0.025,0.005]]	[0.057,0.418,0.494,0.025,0.005]	neutral
41	A group of gay transvestites, transsexuals and their supporters gathered in Sheridan Square last night, blocking traffic in Greenwich Village for nearly an hour, following a march from Tompkins Square Park.	[[0.517,0.422,0.056,0.001,0.004]]	[0.517,0.422,0.056,0.001,0.004]	very negative
42	No one can recall the last time a transsexual was elected to any position in the city.	[[0.09,0.6,0.286,0.019,0.005]]	[0.09,0.6,0.286,0.019,0.005]	negative
43	At the outset, the playwright warns theatergoers to be prepared for an outrageous ride, a loop-the-loop about transsexualism and other less radical forms of emotional surgery.	[[0.072,0.552,0.237,0.119,0.019]]	[0.072,0.552,0.237,0.119,0.019]	negative
44	Not only does ''Hedwig'' have an unusual story, even for the gender-bending 90's (the protagonist is an East German transsexual rock singer), but its thrashing guitar score is more tuned to Iggy Pop than Andrew Lloyd Webber.	[[0.177,0.649,0.15,0.016,0.008]]	[0.177,0.649,0.15,0.016,0.008]	negative
45	Organizers call it the world's biggest gathering of gay, bisexual, cross-dressing and transsexual people, and it's coming to New York in June.	[[0.151,0.526,0.181,0.092,0.049]]	[0.151,0.526,0.181,0.092,0.049]	negative
46	Ms. Nelson, a transsexual formerly known as Glenn Nelson, was also charged with the attempted murder of the brother of one of the slain officers, and with firing on seven other officers during a 14-hour standoff with the police before she was taken into custody.	[[0.148,0.53,0.22,0.074,0.029]]	[0.148,0.53,0.22,0.074,0.029]	negative
47	A Man Who Became a Woman, A Woman Becoming a Man Performance Space 122 For Allie, the transsexual performance artist portrayed by the transsexual performance artist Kate Bornstein in "Virtually Yours," identity is a double Gordian knot.	[[0.192,0.676,0.111,0.012,0.009]]	[0.192,0.676,0.111,0.012,0.009]	negative
48	Transsexuals desire ''gender correction'' surgery so that they can live as heterosexuals.	[[0.054,0.374,0.43,0.117,0.025]]	[0.054,0.374,0.43,0.117,0.025]	neutral
49	For the sake of convenience, let it be ''she,'' and ''Ms.,'' since she is a post-operative, male-to-female transsexual.	[[0.082,0.643,0.194,0.069,0.011]]	[0.082,0.643,0.194,0.069,0.011]	negative
50	The future brings options that previous generations never had -- in the album's opening song, a transsexual joyfully announces to his/her daughter, "Now I'm Your Mom" -- but those options, and the enjoyment of them, can't be separated from corruption and decay.	[[0.066,0.358,0.383,0.16,0.033]]	[0.066,0.358,0.383,0.16,0.033]	neutral
51	Sometimes, it seems, being the nation's most famous transsexual police officer has its advantages.	[[0.1,0.543,0.212,0.12,0.026]]	[0.1,0.543,0.212,0.12,0.026]	negative
52	The spots feature same-sex couples, celebrities known to be homosexuals, drag performers and even a transsexual or two.	[[0.077,0.506,0.331,0.072,0.014]]	[0.077,0.506,0.331,0.072,0.014]	negative
53	She is, we soon find out, a lesbian who becomes a transsexual and suffers the gravest of consequences.	[[0.186,0.453,0.232,0.091,0.038]]	[0.186,0.453,0.232,0.091,0.038]	negative
54	To the Editor: Stephen H. Miller (letter, Sept. 11) is mistaken when he writes that the states have no legal problem with a male-to-female transsexual marrying a man.	[[0.1,0.643,0.239,0.013,0.005]]	[0.1,0.643,0.239,0.013,0.005]	negative
55	If Terence Stamp isn't careful, he is liable to find himself replacing Dennis Hopper as the movies' No. 1 ready-made weirdo, the name actor most willing take any far-out role, from matronly transsexual (''The Adventures of Priscilla: Queen of the Desert'') to radical sex therapist (''Bliss''), just because it has an offbeat erotic frisson.	[[0.316,0.468,0.197,0.011,0.008]]	[0.316,0.468,0.197,0.011,0.008]	negative
56	Nearly all of Almodovar's films since his 1980 feature debut are populated with transsexuals, porn stars, drag queens, sadomasochists and drug addicts.	[[0.277,0.639,0.068,0.01,0.006]]	[0.277,0.639,0.068,0.01,0.006]	negative
57	A structure deep within the brain, where the tangled roots of sexuality are thought to lie, differs substantially between ordinary men and transsexuals who have surgically transformed themselves from men into women, scientists have reported.	[[0.147,0.597,0.197,0.038,0.021]]	[0.147,0.597,0.197,0.038,0.021]	negative
58	Ms. Sklarz, who is openly transsexual, was elected as a delegate to the Democratic Party's Manhattan Judicial Convention, which was held Thursday.	[[0.213,0.596,0.154,0.022,0.015]]	[0.213,0.596,0.154,0.022,0.015]	negative
59	WORKING SEX by Marianne Macy (Carroll & Graf Publishers, Inc., New York) DESCRIPTION First-person account of the sex industry, heterosexual and homosexual, in New York, with oral histories of escorts, domination, transsexual prostitution, porn films, strippers.	[[0.361,0.504,0.121,0.006,0.008]]	[0.361,0.504,0.121,0.006,0.008]	negative
60	Amid the pageantry of the 22d annual New York City Lesbian and Gay Pride Parade yesterday, amid the exotically tatooed men and women, the dapper elderly men in straw boaters, the sequins-and-lame contingent carrying a "Transsexuals for Change" banner, there was a somber message.	[[0.136,0.678,0.16,0.019,0.006]]	[0.136,0.678,0.16,0.019,0.006]	negative
61	But comic complications assert themselves in a custody battle that involves Cassandra with a wacky circle of lesbians, gay men, transvestites and transsexuals, all fighting over a child named Delilah who is, indeed, a doll.	[[0.183,0.649,0.144,0.016,0.008]]	[0.183,0.649,0.144,0.016,0.008]	negative
62	But at night, the 44-year-old Vietnam veteran takes to the streets to earn a living as a transsexual prostitute, to pay for monthly estrogen injections and, eventually, surgery to become a woman.	[[0.147,0.668,0.169,0.011,0.005]]	[0.147,0.668,0.169,0.011,0.005]	negative
63	I happen to be a transsexual, and there are thousands of us.	[[0.033,0.159,0.394,0.362,0.053]]	[0.033,0.159,0.394,0.362,0.053]	neutral
64	But members of the school's ''transgendered'' community, which includes transsexuals and transvestites, want explicit protection. ''	[[0.158,0.694,0.105,0.029,0.014]]	[0.158,0.694,0.105,0.029,0.014]	negative
65	The woman, Leslie Ann Nelson, is a transsexual who will become the only woman on New Jersey's death row.	[[0.115,0.375,0.213,0.209,0.087]]	[0.115,0.375,0.213,0.209,0.087]	negative
66	Although I have some reputation as a pediatric ophthalmologist, I only get requests for interviews from the popular press because of my being the notorious transsexual tennis player who also coached Martina Navratilova during the 1980's.	[[0.184,0.539,0.255,0.016,0.007]]	[0.184,0.539,0.255,0.016,0.007]	negative
67	Heavily mascaraed, peering out from beneath bright eyeshadow and behind a long, luxuriant Veronica Lake hairdo, Mr. Stamp cuts a spectacular figure as a sardonic transsexual named Bernadette, part of a three-queen drag act on a bus tour through the wilds of Australia.	[[0.147,0.657,0.154,0.028,0.015]]	[0.147,0.657,0.154,0.028,0.015]	negative
68	Researchers in the Netherlands have discovered that a region of the hypothalamus, located at the floor of the brain, is about 50 percent larger in men than in women, and almost 60 percent larger in men than in male-to-female transsexuals.	[[0.132,0.446,0.187,0.165,0.071]]	[0.132,0.446,0.187,0.165,0.071]	negative
69	This isn't about my sexual orientation,'' said Ben Singer, a female-to-male transsexual graduate student. ''	[[0.154,0.54,0.272,0.025,0.009]]	[0.154,0.54,0.272,0.025,0.009]	negative
70	QUENTIN TARANTINO'S "PULP Fiction" grabbed the top award at the Cannes International Film Festival two months ago, and a low-budget Australian comedy (about two drag queens and a transsexual who cross the Outback in an old school bus) won no prize at all.	[[0.267,0.537,0.099,0.053,0.044]]	[0.267,0.537,0.099,0.053,0.044]	negative
71	The aims of transsexuals are divergent from those of gay men and lesbians.	[[0.057,0.43,0.366,0.127,0.019]]	[0.057,0.43,0.366,0.127,0.019]	negative
72	Jin Xing is a transsexual.	[[0.079,0.385,0.278,0.204,0.055]]	[0.079,0.385,0.278,0.204,0.055]	negative
