id	context	predictions	aggregatedPredictions	category
83	If all goes as agreed, the Rev. Mel White, an outspoken supporter of gay rights, will take 200 people to Lynchburg, Va., next month, to meet with the Rev. Jerry Falwell, an outspoken critic of homosexual activity, and 200 people he has invited.	[[0.308,0.477,0.198,0.011,0.006]]	[0.308,0.477,0.198,0.011,0.006]	negative
84	Studying the family histories of 114 avowedly homosexual men, Dr. Dean Hamer and his colleagues discovered that many of the men's male relatives on the mother's side of the family were themselves homosexuals.	[[0.07,0.494,0.275,0.133,0.027]]	[0.07,0.494,0.275,0.133,0.027]	negative
85	Should you, on that basis, have a right to discriminate against the would-be homosexual tenants?	[[0.028,0.133,0.297,0.48,0.063]]	[0.028,0.133,0.297,0.48,0.063]	positive
86	But the ruling carries much broader implications, as the court said the 2.4-million-member denomination has no law to prevent a bishop from ordaining homosexuals as deacons or priests.	[[0.179,0.559,0.101,0.111,0.049]]	[0.179,0.559,0.101,0.111,0.049]	negative
87	Dr. Charles W. Socarides offered the closest thing to hope that many homosexuals had in the 1960's: the prospect of a cure.	[[0.036,0.242,0.482,0.211,0.028]]	[0.036,0.242,0.482,0.211,0.028]	neutral
88	Attacks on homosexuals more than doubled in New York City last year, according to the police.	[[0.088,0.425,0.326,0.122,0.038]]	[0.088,0.425,0.326,0.122,0.038]	negative
89	After days of negotiation and rancor in the military and Congress, Mr. Clinton temporarily suspended the formal discharge of homosexuals from the military and announced that new recruits would no longer be asked if they are homosexuals.	[[0.2,0.54,0.231,0.017,0.012]]	[0.2,0.54,0.231,0.017,0.012]	negative
90	"Even in Drogheda, my hometown," Mr. Fay said, savoring the idea of a homosexual contingent parading for the first time on the narrow streets that he emigrated from because of the community oppression he sensed in Ireland over his homosexuality.	[[0.176,0.664,0.107,0.039,0.014]]	[0.176,0.664,0.107,0.039,0.014]	negative
91	Congress unexpectedly became embroiled in a controversy over homosexuality today as a senior House Republican defended the assertion that it is a sin and as the White House declared that such ''backward'' thinking was holding up confirmation of its nominee as the Ambassador to Luxembourg.	[[0.284,0.523,0.169,0.014,0.01]]	[0.284,0.523,0.169,0.014,0.01]	negative
92	From the moment Karen S. Burstein won the Democratic primary for state attorney general, the Republican candidate, Dennis C. Vacco, has said publicly that her homosexuality should not be a campaign issue.	[[0.151,0.634,0.153,0.048,0.015]]	[0.151,0.634,0.153,0.048,0.015]	negative
93	It was a move that would seemingly run counter to the Boy Scouts' longstanding opposition to homosexuals in their ranks.	[[0.13,0.531,0.266,0.054,0.018]]	[0.13,0.531,0.266,0.054,0.018]	negative
94	The events that led to the dismissal of the columnist, Juan R. Palomo, began two months ago, when editors ordered him to delete from a column about the beating of a gay man Mr. Palomo's own disclosure that he is a homosexual.	[[0.075,0.519,0.318,0.073,0.015]]	[0.075,0.519,0.318,0.073,0.015]	negative
95	A factor that furthers the perception of the Bergalis case as a symbol of discrimination among people with AIDS is the family's alliance with William Dannemeyer, a Congressman from California who has publicly distinguished between homosexuals and "decent people who acquired the virus innocently."	[[0.124,0.347,0.293,0.17,0.066]]	[0.124,0.347,0.293,0.17,0.066]	negative
96	A secret homosexual, he was vehemently antigay in public.	[[0.059,0.496,0.341,0.09,0.014]]	[0.059,0.496,0.341,0.09,0.014]	negative
97	Accession Policy Applicants for military service will no longer be asked or required to reveal if they are homosexual or bisexual, but applicants will be informed of the conduct that is proscribed for members of the armed forces, including homosexual conduct.	[[0.192,0.584,0.191,0.02,0.013]]	[0.192,0.584,0.191,0.02,0.013]	negative
98	The Homefront itself is in the building that was most recently home to the New David cinema, which featured homosexual films and was closed by the city for allowing ''high risk'' sex acts among patrons.	[[0.096,0.629,0.219,0.045,0.011]]	[0.096,0.629,0.219,0.045,0.011]	negative
99	As if the situation were not complicated enough, a homosexual advocacy group has expressed concern that by blaming the show rather than the killer, the plaintiffs were encouraging homophobia.	[[0.15,0.583,0.242,0.018,0.007]]	[0.15,0.583,0.242,0.018,0.007]	negative
100	And when local communities talk about homosexuals, they make Patrick Buchanan sound subtle, leaving behind code words and generalities.	[[0.116,0.732,0.104,0.038,0.01]]	[0.116,0.732,0.104,0.038,0.01]	negative
101	A drama by Louis Delgado about two H.I.V.-positive men, one an intravenous drug user, the other a homosexual, who share a hospital room.	[[0.329,0.582,0.067,0.008,0.014]]	[0.329,0.582,0.067,0.008,0.014]	negative
102	Homosexual journalists, once as hidden in newsrooms as they were in much of America, have become sharply more visible in major news organizations in the last several years and they are helping to change news reports and reporting.	[[0.279,0.583,0.126,0.005,0.006]]	[0.279,0.583,0.126,0.005,0.006]	negative
103	As someone says, there are many varieties of both heterosexuals and homosexuals.	[[0.051,0.54,0.355,0.048,0.006]]	[0.051,0.54,0.355,0.048,0.006]	negative
104	On Jan. 15, Colorado will become the first state in the nation with a constitution that prevents adoption of laws that specifically protect homosexuals from discrimination.	[[0.078,0.569,0.259,0.078,0.016]]	[0.078,0.569,0.259,0.078,0.016]	negative
105	A man was convicted today of helping to kill a homosexual because of what he called an unwanted advance and sentenced to life without parole.	[[0.101,0.585,0.237,0.061,0.017]]	[0.101,0.585,0.237,0.061,0.017]	negative
106	Most advertisers, to be sure, still shun even elemental efforts in this realm because of a stigma about homosexuality.	[[0.181,0.622,0.172,0.016,0.009]]	[0.181,0.622,0.172,0.016,0.009]	negative
107	Just five minutes later, many Americans switched channels to watch a small step forward for the stirring of homosexuals into the American melting pot.	[[0.133,0.674,0.154,0.028,0.01]]	[0.133,0.674,0.154,0.028,0.01]	negative
108	Everyone concurred that "homosexual" had too clinical a ring.	[[0.134,0.569,0.189,0.077,0.031]]	[0.134,0.569,0.189,0.077,0.031]	negative
109	A Vatican office has urged Roman Catholic bishops in the United States to scrutinize laws intended to protect homosexuals and to oppose them if they promote public acceptance of homosexual conduct.	[[0.082,0.445,0.321,0.122,0.029]]	[0.082,0.445,0.321,0.122,0.029]	negative
110	A publisher has decided not to sell a health textbook in Texas rather than make hundreds of revisions demanded by state officials after the book was criticized by anti-abortion groups and others for its discussion of condom use, homosexuality and other sexual issues.	[[0.091,0.434,0.315,0.126,0.035]]	[0.091,0.434,0.315,0.126,0.035]	negative
111	Mr. McCartney has lately been speaking about homosexuality, which he has called "an abomination."	[[0.007,0.089,0.87,0.031,0.003]]	[0.007,0.089,0.87,0.031,0.003]	neutral
112	In a report issued two months ago, that panel, the Christopher Commission, said it had found recurrent racist, sexist and anti-homosexual remarks typed by officers into patrol car communication systems during the previous year and a half.	[[0.357,0.486,0.132,0.014,0.01]]	[0.357,0.486,0.132,0.014,0.01]	negative
113	After failing to agree on terms for settling the suit, the Dallas City Council last week held a raucous debate -- almost 300 citizens turned out to speak -- on the banning of homosexuals.	[[0.368,0.488,0.123,0.008,0.013]]	[0.368,0.488,0.123,0.008,0.013]	negative
114	Any further appeal, to the Supreme Court, would provide the Justices their first opportunity to consider the issue of homosexuals' service in the military.	[[0.219,0.566,0.134,0.045,0.036]]	[0.219,0.566,0.134,0.045,0.036]	negative
115	But Navy investigators are skeptical of the new affidavit, which was given by a sailor who said he had had homosexual relations twice with the accused man, Airman Apprentice Terry M. Helvey.	[[0.158,0.695,0.123,0.015,0.009]]	[0.158,0.695,0.123,0.015,0.009]	negative
116	The measure prohibits the state or any of its cities from passing ordinances to protect homosexuals.	[[0.112,0.602,0.176,0.089,0.022]]	[0.112,0.602,0.176,0.089,0.022]	negative
117	Court Sides With Gay Scout A New Jersey appeals court ruled that the Boy Scouts could not oust an Eagle Scout because he is homosexual.	[[0.1,0.556,0.241,0.078,0.025]]	[0.1,0.556,0.241,0.078,0.025]	negative
118	The Human Rights Campaign, a homosexual rights organization, said yesterday that it had bought time on stations affiliated with ABC to run a commercial during the April 30 episode of ''Ellen,'' when the title character of that sitcom is to disclose she is a lesbian.	[[0.174,0.622,0.165,0.024,0.014]]	[0.174,0.622,0.165,0.024,0.014]	negative
119	The marines, all lance corporals stationed at nearby Camp Lejeune, were apparently angry about President Clinton's efforts to allow homosexuals serve in the military, the police said.	[[0.327,0.592,0.066,0.004,0.01]]	[0.327,0.592,0.066,0.004,0.01]	negative
120	He said -- in comments repeated by his aides today -- that he was merely keeping an open mind in anticipation of a Pentagon report recommending how best to carry out his pledge to allow homosexuals to serve.	[[0.085,0.482,0.223,0.174,0.037]]	[0.085,0.482,0.223,0.174,0.037]	negative
121	Fearing a political battle that will divert attention from what they regard as more critical issues -- and one that will ultimately be lost -- some influential homosexuals are questioning the high-profile campaign by major gay groups to defend same-sex marriage.	[[0.159,0.518,0.156,0.11,0.056]]	[0.159,0.518,0.156,0.11,0.056]	negative
122	LEAD: The New Jersey state police, proud of their record of arrests for illegal drug and gun running on the state's highways in recent years, are under pressure to submit to independent oversight of their operations in the wake of complaints that they are aiming at racial minorities and homosexuals.	[[0.177,0.543,0.204,0.05,0.025]]	[0.177,0.543,0.204,0.05,0.025]	negative
123	Ronald K. Crumpley, 59, has admitted that he suffered from paranoid delusions about homosexuals when he opened fire outside the Ramrod Bar on Nov. 18, 1980.	[[0.253,0.563,0.114,0.035,0.034]]	[0.253,0.563,0.114,0.035,0.034]	negative
124	Leaders of gay rights organizations warned White House officials at a meeting today that unless President Clinton better demonstrates his support for homosexuals in the military, a gay and lesbian march on Washington next month would turn into an embarrassing protest.	[[0.445,0.406,0.129,0.008,0.012]]	[0.445,0.406,0.129,0.008,0.012]	very negative
125	Last month two towns and four counties in Oregon voted overwhelmingly to prohibit local ordinances protecting homosexuals from discrimination.	[[0.135,0.681,0.149,0.024,0.011]]	[0.135,0.681,0.149,0.024,0.011]	negative
126	To the Editor: Given the controversy in the United States over recognition of homosexual marriages (news article, May 31), it is interesting to note that the S.N.C.F., the French national railroad, has decided that homosexual couples are eligible for couple discount fares.	[[0.121,0.359,0.338,0.159,0.024]]	[0.121,0.359,0.338,0.159,0.024]	negative
127	LEAD: A gay Episcopal priest ordained just last Dec. 16 has been forced to resign as director of a Hoboken ministry to homosexuals because of comments he made questioning celibacy and monogamy.	[[0.2,0.543,0.226,0.019,0.012]]	[0.2,0.543,0.226,0.019,0.012]	negative
128	The Human Rights Campaign, a leading gay and lesbian political organization, protested the action by Mr. Perot's company, Perot Systems Inc., as a slap at homosexuals.	[[0.286,0.583,0.115,0.007,0.009]]	[0.286,0.583,0.115,0.007,0.009]	negative
129	No matter how large the show of force by homosexual men and women in today's Stonewall march in New York, gay-bashing remains a booming political sport for the right -- a sure-fire way to whip up votes, campaign contributions and a national witch hunt in the grim tradition of Salem and Joe McCarthy.	[[0.143,0.602,0.223,0.023,0.008]]	[0.143,0.602,0.223,0.023,0.008]	negative
130	But the effective result is that Mr. Diaz, harshly criticized for what some considered anti-homosexual views, may stay on the board indefinitely as a holdover member.	[[0.243,0.666,0.068,0.014,0.01]]	[0.243,0.666,0.068,0.014,0.01]	negative
131	The police in Oregon say that in the last month the number of arson fires, vandalism incidents and verbal threats, from both gay rights opponents and those in favor of laws protecting homosexuals, has gone up sharply as the campaign has heated up.	[[0.047,0.282,0.373,0.256,0.041]]	[0.047,0.282,0.373,0.256,0.041]	neutral
132	The ruling, handed down in November by a three-judge panel of the United States Court of Appeals for the District of Columbia Circuit, involved a midshipman who was forced out of the United States Naval Academy at Annapolis and not commissioned as an officer because he said under questioning that he was homosexual.	[[0.502,0.421,0.063,0.004,0.01]]	[0.502,0.421,0.063,0.004,0.01]	very negative
133	Senator Trent Lott's recent condemnation of homosexuality and a variety of anti-gay initiatives in Southern communities point up an important trend in American politics, and a threatening one for advocates of inclusive democracy.	[[0.129,0.491,0.209,0.126,0.045]]	[0.129,0.491,0.209,0.126,0.045]	negative
134	Mr. Gomes suggests that those who oppose efforts to legitimate homosexual practices do so for three reasons.	[[0.018,0.193,0.717,0.065,0.007]]	[0.018,0.193,0.717,0.065,0.007]	neutral
135	One frustrated listener asserted that "heterosexuals are more repressed than homosexuals."	[[0.066,0.48,0.398,0.044,0.012]]	[0.066,0.48,0.398,0.044,0.012]	negative
136	A homosexual who as a boy was beaten and otherwise tormented in school for years won a $900,000 out-of-court settlement today, bringing to an end the first Federal trial of a school district for failure to protect a gay student.	[[0.164,0.502,0.197,0.097,0.041]]	[0.164,0.502,0.197,0.097,0.041]	negative
137	Supporters of retaining the ban on homosexuals in the United States military have warned that without the restrictions, combat readiness would erode, recruiting would plummet and the American armed services would deteriorate into a "second-rate force."	[[0.623,0.364,0.009,0.001,0.003]]	[0.623,0.364,0.009,0.001,0.003]	very negative
138	Homosexual rights groups were angered by the move and said it was the first such proposal by a medical society in the nation.	[[0.126,0.535,0.205,0.096,0.038]]	[0.126,0.535,0.205,0.096,0.038]	negative
139	Though it is by no means a finished fight, progress in overturning anti-homosexual statutes, inimical attitudes within the psychiatric establishment and misrepresentations or disapproving silence in the culture has been relatively swift.	[[0.098,0.634,0.23,0.03,0.008]]	[0.098,0.634,0.23,0.03,0.008]	negative
140	Gay Marriage: Judge's View When a judge ruled on Tuesday that Hawaii must issue marriage licenses to same-sex couples, his decision actually hinged on the issue of whether homosexual couples make good parents.	[[0.177,0.615,0.175,0.02,0.012]]	[0.177,0.615,0.175,0.02,0.012]	negative
141	The protection for homosexuals was part of a last-minute amendment sought by lawmakers concerned about the potential for discrimination created by a ban on long-term aid to illegal aliens in the same package.	[[0.07,0.581,0.295,0.044,0.011]]	[0.07,0.581,0.295,0.044,0.011]	negative
142	After months of hearings that left the motive unclear in the death of a gay sailor, the Navy released documents today describing how Airman Apprentice Terry M. Helvey, who was sentenced hours earlier to life in prison for the killing, had stalked the victim, then punched and kicked him furiously, at least in part because he hated homosexuals.	[[0.434,0.324,0.218,0.013,0.011]]	[0.434,0.324,0.218,0.013,0.011]	very negative
143	Now 43, he readily recalls moments when he hid his homosexuality rather than face public ridicule.	[[0.049,0.342,0.368,0.21,0.031]]	[0.049,0.342,0.368,0.21,0.031]	neutral
144	I would gladly exchange my single, middle-class, heterosexual life for Geffen's lonely, "sultanlike," homosexual one.	[[0.059,0.455,0.43,0.047,0.009]]	[0.059,0.455,0.43,0.047,0.009]	negative
145	Gay-rights demonstrators sometimes brandish placards proclaiming "We are everywhere," as a reminder that homosexuals are in all strata of American society.	[[0.122,0.493,0.184,0.149,0.052]]	[0.122,0.493,0.184,0.149,0.052]	negative
146	But they are also urging gay service members to use caution in disclosing their homosexuality, advising that any action they take now might be used against them later if the injunction is lifted by a higher court.	[[0.164,0.614,0.212,0.006,0.004]]	[0.164,0.614,0.212,0.006,0.004]	negative
147	Instead, I am a married, heterosexual, comb-carrying, college-educated, hearing-impaired, Depression-generation, male European-American, and go to doubles bars in which homosexual, bald, educationally disadvantaged, hearing-advantaged, pre- as well as post-Depression-generation, male European-Americans, Asian-Americans, African-Americans, Antarctic-Americans, Native Americans, Australian-Americans and Pacific-Island Americans, though not unwelcome, are made to feel peculiar.	[[0.192,0.564,0.209,0.025,0.01]]	[0.192,0.564,0.209,0.025,0.01]	negative
148	Although in the ''Symposium'' Socrates acknowledges the reality of homosexual love, the point of the dialogue is that we should learn to progress from the love of physical beauty to the love of souls and ideas, and eventually to the love of ''beauty absolute'': a beauty which ''once you have seen it, you will never be seduced again by the charm of gold, of dress, comely boys, or lads just ripening to manhood.''	[[0.008,0.019,0.088,0.648,0.237]]	[0.008,0.019,0.088,0.648,0.237]	positive
149	Mr. Fox did not say he was an active homosexual when he was ordained.	[[0.035,0.344,0.548,0.063,0.009]]	[0.035,0.344,0.548,0.063,0.009]	neutral
150	Although the court said it was not considering the constitutionality of new regulations being prepared by the Defense Department, the three judges said the equal protection guarantee of the Fifth Amendment did not permit the Government to remove members of the armed services merely because they say they are homosexuals.	[[0.089,0.621,0.259,0.025,0.006]]	[0.089,0.621,0.259,0.025,0.006]	negative
151	The ''coming out'' of the title character on ''Ellen'' was accomplished with wit and poignancy, which should help defuse the antagonism toward homosexuals still prevalent in society.	[[0.008,0.022,0.048,0.759,0.163]]	[0.008,0.022,0.048,0.759,0.163]	positive
152	The object is for one boy to pick out the most unsuitable passing stranger -- a drunk, a priest or ''a flamboyantly swish homosexual'' -- and to point at him and say, ''Is that your dad?''	[[0.042,0.523,0.374,0.056,0.006]]	[0.042,0.523,0.374,0.056,0.006]	negative
153	An admiral accused of protecting an aide from punishment after accusations of homosexual advances has appealed his demotion.	[[0.176,0.625,0.152,0.031,0.016]]	[0.176,0.625,0.152,0.031,0.016]	negative
154	The House today overwhelmingly passed a modified version of President Clinton's policy on homosexuals in the military, prohibiting homosexual conduct but halting the questioning of recruits about their sexual orientation.	[[0.112,0.669,0.186,0.026,0.008]]	[0.112,0.669,0.186,0.026,0.008]	negative
155	Trying to steer a general course on a volatile issue, Episcopal bishops affirm in a draft pastoral teaching that marriage remains the foundation of the church's sexual guidance, but they also describe homosexuality as an orientation of "a significant minority of persons" that "cannot usually be reversed."	[[0.243,0.69,0.057,0.005,0.005]]	[0.243,0.69,0.057,0.005,0.005]	negative
156	Senior Senate Democrats and Republicans are beginning to coalesce around a proposal that would end the military's efforts at unmasking homosexuals but would continue to bar gay men and women from serving if they are open about their sexuality.	[[0.23,0.595,0.136,0.022,0.018]]	[0.23,0.595,0.136,0.022,0.018]	negative
157	A Federal appeals court has upheld the right of Cincinnati voters to deprive homosexuals of specific legal protections, dealing a serious setback to the gay and lesbian civil rights movement.	[[0.177,0.435,0.202,0.126,0.06]]	[0.177,0.435,0.202,0.126,0.06]	negative
158	A division of the Ancient Order of Hibernians that allowed a group of Irish homosexuals to march under its banner in the 1991 St. Patrick's Day Parade was reinstated into the New York chapter of the 155-year-old order, its president said yesterday.	[[0.125,0.694,0.161,0.013,0.006]]	[0.125,0.694,0.161,0.013,0.006]	negative
159	LEAD: The lawyer for a homosexual Federal agent who was dismissed says his client's security clearance was revoked to provide a reason to get rid of him.	[[0.162,0.605,0.196,0.023,0.014]]	[0.162,0.605,0.196,0.023,0.014]	negative
160	To the Editor: In "Gay Images: TV's Mixed Signals," John J. O'Connor discusses the lack of homosexual characters and says that the few gay male characters we see are molded to fit stereotypes.	[[0.246,0.545,0.191,0.011,0.007]]	[0.246,0.545,0.191,0.011,0.007]	negative
161	Many lower Federal courts either have flatly rejected same-sex harassment claims as a matter or law, or have limited them to cases in which a heterosexual employee complains of harassment by a homosexual co-worker.	[[0.405,0.443,0.132,0.007,0.013]]	[0.405,0.443,0.132,0.007,0.013]	negative
162	In an effort to make Massachusetts high schools safer for homosexual students, Gov. William F. Weld has announced what is believed to be the first statewide effort to train teachers to help those students.	[[0.195,0.555,0.18,0.051,0.019]]	[0.195,0.555,0.18,0.051,0.019]	negative
163	No organization that recruits schoolchildren and says it is guided by honesty and respect for others has any right to ban homosexuals.	[[0.048,0.214,0.217,0.422,0.099]]	[0.048,0.214,0.217,0.422,0.099]	positive
164	The debate was sparked by remarks critical of homosexuality that the minister, the Rev. Ruben Diaz, has made.	[[0.193,0.709,0.073,0.017,0.008]]	[0.193,0.709,0.073,0.017,0.008]	negative
165	In that time, information -- and all too often, misinformation -- about sexual practices has fed into political skirmishes over homosexuality, abortion, sexual abuse, date rape, welfare reform and, yes, "family values."	[[0.206,0.639,0.098,0.034,0.024]]	[0.206,0.639,0.098,0.034,0.024]	negative
166	But he didn't want an exclusively homosexual life.	[[0.06,0.494,0.411,0.028,0.006]]	[0.06,0.494,0.411,0.028,0.006]	negative
167	To the Editor: John J. O'Connor may think that the "basic thrusts" of the Gay and Lesbian Alliance Against Defamation, which pressures TV networks to eliminate unfavorable images of homosexuals and provide politically correct gay images, and the Rev. Donald Wildmon's American Family Association, which pressures networks to " [ continue ] and indeed even [ strengthen ] the old practices of concealment," are "diametrically opposed."	[[0.217,0.608,0.156,0.012,0.007]]	[0.217,0.608,0.156,0.012,0.007]	negative
168	Bias-related slayings of homosexuals are often gratuitously violent and many go unsolved, according to a report released yesterday by 23 victims services and anti-violence groups nationwide.	[[0.311,0.534,0.126,0.014,0.015]]	[0.311,0.534,0.126,0.014,0.015]	negative
169	If my suspicion is right, the great majority of us still believe, in our heart of hearts, that there is something nasty and wrong about homosexual intercourse,'' he wrote. ''	[[0.01,0.033,0.065,0.735,0.157]]	[0.01,0.033,0.065,0.735,0.157]	positive
170	And if the sex is homosexual, that hysteria can become panic.	[[0.023,0.162,0.34,0.447,0.028]]	[0.023,0.162,0.34,0.447,0.028]	positive
171	The ban is unfair to patriotic homosexuals, male and female, and deprives the military of talent.	[[0.274,0.613,0.085,0.015,0.014]]	[0.274,0.613,0.085,0.015,0.014]	negative
172	If Wolfe has such biases on this subject, one can only wonder how biased the rest of the article is about homosexuality.	[[0.122,0.642,0.194,0.032,0.009]]	[0.122,0.642,0.194,0.032,0.009]	negative
173	Although recent polls indicate that an anti-homosexual measure on the Oregon ballot is headed for defeat, the referendum has produced a sharp increase in recent weeks in harassment and violence, by both sides.	[[0.03,0.173,0.251,0.491,0.055]]	[0.03,0.173,0.251,0.491,0.055]	positive
174	The "Laws" (Book VIII) rejects homosexual intercourse because it can render men unfit for marriage and because it is contrary to nature and a shameless indulgence.	[[0.192,0.62,0.156,0.02,0.013]]	[0.192,0.62,0.156,0.02,0.013]	negative
175	MORE than seven years after it opened on Broadway, "La Cage aux Folles," about the long-lived marriage between "one transvestite and one plain homosexual" remains the last in a line of thoroughly conventional hit musicals.	[[0.239,0.603,0.127,0.017,0.013]]	[0.239,0.603,0.127,0.017,0.013]	negative
176	The Supreme Court brought a long and difficult term to an end on Monday, leaving behind rulings rich in symbolic significance for women and homosexuals while at the same time providing abundant evidence of the extent to which the Court's discourse has shifted to the right.	[[0.151,0.591,0.17,0.06,0.028]]	[0.151,0.591,0.17,0.06,0.028]	negative
177	Many homosexual men had been giving blood in an effort to help find a vaccine against another disease, hepatitis B, that seemed to attack homosexuals.	[[0.158,0.619,0.185,0.027,0.011]]	[0.158,0.619,0.185,0.027,0.011]	negative
178	And most of them went to church or temple, belonged to the same clubs, read the same newspapers and magazines, visited back and forth, voted in every election and did not divorce or speak of homosexuals in polite conversation.	[[0.246,0.683,0.048,0.015,0.008]]	[0.246,0.683,0.048,0.015,0.008]	negative
179	The Pentagon issued new rules today intended to put into practice its new policy allowing gay men and lesbians to serve in the military so long as they do not engage in homosexual acts and keep quiet about their sexual orientation.	[[0.104,0.587,0.25,0.044,0.014]]	[0.104,0.587,0.25,0.044,0.014]	negative
180	At Emory University here, where about 300 students rallied while President Clinton held a regional economic conference, speakers included the university's president, William M. Chace, and representatives of homosexual student groups.	[[0.123,0.658,0.182,0.026,0.01]]	[0.123,0.658,0.182,0.026,0.01]	negative
181	He owns book shops in San Francisco and West Hollywood as well the one in Chelsea, a white hot precinct with one of the largest homosexual populations in the country.	[[0.114,0.514,0.188,0.142,0.042]]	[0.114,0.514,0.188,0.142,0.042]	negative
182	The man, who identified himself with the pseudonym Jose Garcia, said at a news conference on Thursday that he hoped the decision of the Immigration and Naturalization Service would send a signal to all homosexuals "that there are countries in the world which respect the human rights of all citizens."	[[0.076,0.331,0.395,0.16,0.038]]	[0.076,0.331,0.395,0.16,0.038]	neutral
183	The Administration's new policy toward homosexuals in the military was given the pithy title of "don't ask, don't tell, don't pursue" -- signifying a willingness to tolerate gay men and lesbians as long as they kept quiet about their sexual preferences.	[[0.178,0.608,0.176,0.026,0.012]]	[0.178,0.608,0.176,0.026,0.012]	negative
184	When Father Hooke announces that what they're all doing may be wrong and that ''women have a right,'' Mary turns on him and tells him to ''take off the vestments you're afraid to wear'' and ''become the nice little happy homosexual nonentity you are.''	[[0.044,0.289,0.378,0.265,0.024]]	[0.044,0.289,0.378,0.265,0.024]	neutral
185	"It is regrettable that CBS and the other networks have caved in to pressure from the radical wing of the homosexual movement and agreed to promote the life style."	[[0.107,0.704,0.158,0.023,0.007]]	[0.107,0.704,0.158,0.023,0.007]	negative
186	Openly lesbian or bisexual artists, including K. D. Lang, Melissa Etheridge and Me'Shell Ndege'Ocello, have cropped up in other musical forms, but aside from the occasional derogatory reference, rap has largely stayed away from homosexuality.	[[0.555,0.33,0.093,0.006,0.016]]	[0.555,0.33,0.093,0.006,0.016]	very negative
187	HOMOSEXUAL RIGHTS DEMOCRATS Support efforts ''to end discrimination against gay men and	[[0.072,0.416,0.317,0.156,0.038]]	[0.072,0.416,0.317,0.156,0.038]	negative
188	It also declined to prohibit financial support of either on- or off-campus organizations that discriminate against homosexuals.	[[0.156,0.644,0.169,0.022,0.01]]	[0.156,0.644,0.169,0.022,0.01]	negative
189	Daniel Sotomayor, whose cartoons about gay political issues were widely published in the homosexual press, died on Feb. 5 at the Illinois Masonic Medical Center in Chicago.	[[0.139,0.512,0.247,0.072,0.03]]	[0.139,0.512,0.247,0.072,0.03]	negative
190	But there must be musical importance to Schubert's homosexuality (which I take as fact unless Maynard Solomon's persuasive 1989 paper on this issue in the journal 19th Century Music is seriously dented by scholars).	[[0.061,0.525,0.377,0.03,0.007]]	[0.061,0.525,0.377,0.03,0.007]	negative
191	To the Editor: As a homosexual performer, writer and producer, I am at once encouraged and dismayed by the sudden proliferation of mainstream plays and films with homosexual themes, such as the Pulitzer Prize-winning stage epic "Angels in America" [ "Finding a Devil Within to Portray Roy Cohn," April 18 ] and the big-budget film "Philadelphia."	[[0.201,0.62,0.161,0.012,0.007]]	[0.201,0.62,0.161,0.012,0.007]	negative
