id	context	predictions	aggregatedPredictions	category
3094	Now, in an attempt to build a cohesive gay electorate to rival the city's coveted ethnic voting blocs, the Lesbian and Gay Community Services Center on West 13th Street has begun a campaign, Promote the Vote, to identify and mobilize homosexual voters.	[[0.123,0.585,0.265,0.019,0.007]]	[0.123,0.585,0.265,0.019,0.007]	negative
3095	In an affidavit filed yesterday in United States District Court in Manhattan, a lawyer for one of the defendants, Bruce Mailman, said he had been told that Mr. Mailman "was indicted because he was gay and that the Government was interested in penetrating the gay community."	[[0.088,0.391,0.18,0.28,0.062]]	[0.088,0.391,0.18,0.28,0.062]	negative
3096	To the Editor: Gay Men's Health Crisis has always been in the business of reducing the spread of H.I.V. Michelangelo Signorile (Op-Ed, Aug. 16) would have us abandon our annual Morning Party, the oldest continuous AIDS fund-raiser, in the belief that such a dissociation would send an antidrug message to the gay community.	[[0.449,0.355,0.175,0.009,0.012]]	[0.449,0.355,0.175,0.009,0.012]	very negative
3097	President Clinton said today that he would not strike San Francisco from his list of Western campaign stops this weekend despite the possibility that the city's large and politically active gay community might hold street demonstrations to protest his opposition to same-sex marriages.	[[0.17,0.576,0.192,0.041,0.021]]	[0.17,0.576,0.192,0.041,0.021]	negative
3098	Even in San Francisco's Castro district, the heart of the gay community and epicenter of the AIDS epidemic, Gerald S. used to slink into the Walgreen's pharmacy to fill his prescriptions, hoping no one would recognize him or interpret his errand.	[[0.206,0.637,0.135,0.013,0.009]]	[0.206,0.637,0.135,0.013,0.009]	negative
3099	Irving Cooperberg, a founder and the first president of the Lesbian and Gay Community Services Center in Greenwich Village, a hub of gay life in New York City, died on Wednesday at his home in Manhattan.	[[0.585,0.34,0.057,0.004,0.014]]	[0.585,0.34,0.057,0.004,0.014]	very negative
3100	While AIDS has certainly had its most devastating impact on the gay community, the simple truth is that anybody can get AIDS.	[[0.044,0.422,0.45,0.074,0.009]]	[0.044,0.422,0.45,0.074,0.009]	neutral
3101	Brooklyn's Lesbian and Gay Community and people with HIV have lost a principled and unwavering ally.	[[0.13,0.642,0.183,0.032,0.013]]	[0.13,0.642,0.183,0.032,0.013]	negative
3102	Judith E. Turkel, Esq President Richard D. Burns, Esq Executive Director Lesbian & Gay Community Services Center	[[0.201,0.518,0.139,0.081,0.06]]	[0.201,0.518,0.139,0.081,0.06]	negative
3103	Proceeds are to benefit the cultural, health and social programs of the Lesbian and Gay Community Services in New York, which helps more than 250,000 people a year.	[[0.118,0.456,0.252,0.126,0.047]]	[0.118,0.456,0.252,0.126,0.047]	negative
3104	But as the parade moved west across the Village into the historical heart of the gay community, it slowly gathered more marchers and supporters.	[[0.041,0.231,0.167,0.49,0.07]]	[0.041,0.231,0.167,0.49,0.07]	positive
3105	Service at the Lesbian and Gay Community Services Center, 208 West 13 St, NYC, Sunday, April 5th, 2 PM.	[[0.303,0.551,0.132,0.006,0.007]]	[0.303,0.551,0.132,0.006,0.007]	negative
3106	Paradise ain't cheap,'' said Jordan Thaler, 37, a casting director and one of dozens who came to the Lesbian and Gay Community Center on West 13th Street last week looking for a Fire Island share.	[[0.322,0.504,0.149,0.013,0.012]]	[0.322,0.504,0.149,0.013,0.012]	negative
3107	A New Jersey man who threw a can of beer at Mayor David N. Dinkins as he marched with a contingent of gay Irish in the St. Patrick's Day Parade has been sentenced to a week of duty in the Mayor's Office for the Lesbian and Gay Community.	[[0.144,0.599,0.219,0.027,0.011]]	[0.144,0.599,0.219,0.027,0.011]	negative
3108	An article yesterday about a dispute over free speech at Sarah Lawrence College misstated the name of a lesbian and gay community services group in White Plains and misspelled the given names of two students.	[[0.108,0.647,0.201,0.033,0.011]]	[0.108,0.647,0.201,0.033,0.011]	negative
3109	RICHARD BURNS Executive Director, Lesbian & Gay Community Services Center New York, Jan. 30, 1995	[[0.217,0.549,0.106,0.076,0.052]]	[0.217,0.549,0.106,0.076,0.052]	negative
3110	GAY CENTER BENEFIT Ron Romanovsky and Paul Phillips, a gay singing-comedy duo who accompany themselves on acoustic guitar and piano, will be the principal performers in a benefit for the Westchester County Lesbian and Gay Community Services Center, otherwise known as the Loft.	[[0.387,0.524,0.065,0.009,0.016]]	[0.387,0.524,0.065,0.009,0.016]	negative
3111	The group cited Bob and Harvey Weinstein, founders of Miramax Films, for distributing movies of interest to the gay community.	[[0.135,0.689,0.139,0.026,0.011]]	[0.135,0.689,0.139,0.026,0.011]	negative
3112	Paul Alan Kaplan, a theatrical producer and board member of the Lesbian and Gay Community Services Center, died on Monday at New York University Medical Center.	[[0.329,0.564,0.089,0.007,0.011]]	[0.329,0.564,0.089,0.007,0.011]	negative
3113	The projects -- along with another in Greenwich Village -- have ignited battles among politicians, leaders among the gay community and advocates for people with AIDS, even though all parties agree on the need for group residences for homeless people with AIDS who do not require hospitalization or placement in nursing homes.	[[0.276,0.562,0.143,0.012,0.008]]	[0.276,0.562,0.143,0.012,0.008]	negative
3114	Irving had the foresight, determination, humor, and tenacity required to guide the Lesbian and Gay Community Services Center through its early years.	[[0.144,0.546,0.237,0.051,0.022]]	[0.144,0.546,0.237,0.051,0.022]	negative
3115	Norman had the foresight, determination, and commitment to be a guiding force during the Lesbian & Gay Community Services Center's formative years.	[[0.055,0.27,0.492,0.145,0.038]]	[0.055,0.27,0.492,0.145,0.038]	neutral
3116	His early leadership of the Lesbian and Gay Community Services Center helped build a community that is ever so stronger today because of him.	[[0.036,0.136,0.259,0.449,0.12]]	[0.036,0.136,0.259,0.449,0.12]	positive
3117	The Board, Staff and Volunteers of the Lesbian and Gay Community Services Center mourn the passing of our Founding President and dear friend and colleague, Irving Cooperberg.	[[0.314,0.524,0.084,0.037,0.04]]	[0.314,0.524,0.084,0.037,0.04]	negative
3118	Gay civil rights groups have labeled statements like these homophobic and their views are echoed in the theater, whose own gay community has been severely hit by AIDS.	[[0.163,0.622,0.171,0.028,0.016]]	[0.163,0.622,0.171,0.028,0.016]	negative
3119	As the gay community prepares to celebrate its annual "pride week," which will culminate next weekend with marches in several cities, gay rights advocates say the effects of years of organizing and educating are finally being seen, nowhere more clearly than in the workplace.	[[0.162,0.627,0.184,0.019,0.009]]	[0.162,0.627,0.184,0.019,0.009]	negative
3120	Lesbian and Gay Community Services Center, 208 West 13th Street, Greenwich Village.	[[0.264,0.596,0.103,0.019,0.018]]	[0.264,0.596,0.103,0.019,0.018]	negative
3121	Positive Music, a chamber ensemble devoted to AIDS education and awareness, is to present a concert on Feb. 22 at 5:45 P.M. at the Lesbian and Gay Community Services Center, 208 West 13th Street, Greenwich Village.	[[0.459,0.431,0.089,0.007,0.014]]	[0.459,0.431,0.089,0.007,0.014]	very negative
3122	Now the Morning Party is dividing New York's gay community.	[[0.016,0.087,0.475,0.38,0.042]]	[0.016,0.087,0.475,0.38,0.042]	neutral
3123	'Bitter Music' Musicians Accord Lesbian and Gay Community Center In 1935, Harry Partch went on the road and lived the hobo's life.	[[0.136,0.666,0.15,0.033,0.015]]	[0.136,0.666,0.15,0.033,0.015]	negative
3124	The word is gaining currency in New York, San Francisco and other major cities, and the attendant controversy underscores a growing generation gap within the gay community.	[[0.181,0.538,0.146,0.08,0.056]]	[0.181,0.538,0.146,0.08,0.056]	negative
3125	And the gesture was not lost on the leaders of the gay community who joined Ms. Glick in savoring the history of the moment.	[[0.08,0.646,0.212,0.053,0.01]]	[0.08,0.646,0.212,0.053,0.01]	negative
3126	Mr. Giuliani should be applauded for fulfilling an election-year promise made to the gay community.	[[0.022,0.058,0.181,0.571,0.168]]	[0.022,0.058,0.181,0.571,0.168]	positive
3058	"It was early in the epidemic; many people still associated AIDS solely with the gay community," Mr. Zeichik said.	[[0.048,0.411,0.362,0.158,0.021]]	[0.048,0.411,0.362,0.158,0.021]	negative
3059	A director as well as the author of the plays "Annulla: A Survivor," "Still Life" and "Execution of Justice," Ms. Mann has earned a reputation as a chronicler of women, war veterans and the gay community.	[[0.11,0.526,0.234,0.105,0.025]]	[0.11,0.526,0.234,0.105,0.025]	negative
3060	GMHC's staff, volunteers and Board of Directors mourn the passing of Irving Cooperberg, Founding President of New York's Lesbian and Gay Community Services Center.	[[0.297,0.564,0.08,0.028,0.03]]	[0.297,0.564,0.08,0.028,0.03]	negative
3061	And the killing's impact has been especially strong in Mr. Rivera's neighborhood of Jackson Heights, which has with little outside notice become home to the city's second-largest gay community.	[[0.135,0.627,0.091,0.12,0.027]]	[0.135,0.627,0.091,0.12,0.027]	negative
3062	In August, the commissioners of the county, which comprises suburbs northwest of Atlanta, declared in a resolution that the "life style advocated by the gay community" was "incompatible with the standards to which this community subscribes."	[[0.13,0.728,0.128,0.01,0.004]]	[0.13,0.728,0.128,0.01,0.004]	negative
3063	To the Editor: The upper-middle-class white gay community is no better than its straight counterparts.	[[0.029,0.135,0.215,0.543,0.077]]	[0.029,0.135,0.215,0.543,0.077]	positive
3064	The gay community is given a golden opportunity to make a positive statement about itself and its ideals and values.	[[0.008,0.019,0.108,0.69,0.175]]	[0.008,0.019,0.108,0.69,0.175]	positive
3065	The answer is that the only thing the lesbian and gay community has ever wanted has been justice.	[[0.134,0.695,0.14,0.021,0.009]]	[0.134,0.695,0.14,0.021,0.009]	negative
3066	Wally was a proud member of the gay community & active in Greenwich Village and Chelsea.	[[0.025,0.1,0.353,0.43,0.092]]	[0.025,0.1,0.353,0.43,0.092]	positive
3067	The film, ''Longtime Companion,'' which explores the effect of the disease on the gay community over eight years, was unlikely to find backers with bales of cash begging to finance it.	[[0.283,0.54,0.143,0.016,0.017]]	[0.283,0.54,0.143,0.016,0.017]	negative
3068	Today "KEEPIN' ON," photographs, books and memorabilia about black lesbians, National Museum of Lesbian and Gay History, Lesbian and Gay Community Services Center, 208 West 13th Street, Manhattan.	[[0.361,0.539,0.088,0.004,0.008]]	[0.361,0.539,0.088,0.004,0.008]	negative
3069	discrimination and intolerance that members of the gay community face every day.	[[0.018,0.087,0.46,0.39,0.045]]	[0.018,0.087,0.46,0.39,0.045]	neutral
3070	Mayor David Dinkins is going to need more than sartorial splendor, a junket to Israel and a walk with the gay community to solve the problems of New York City ("Mayor Dinkins: Every Day a Test" by Sam Roberts, April 7).	[[0.281,0.552,0.14,0.015,0.012]]	[0.281,0.552,0.14,0.015,0.012]	negative
3071	For Lesbian and Gay Center June 22 -- The Lesbian and Gay Community Services Center will hold its annual garden party at the center, 208 West 13th Street.	[[0.128,0.614,0.18,0.057,0.021]]	[0.128,0.614,0.18,0.057,0.021]	negative
