id	context	predictions	aggregatedPredictions	category
49	Some sex therapists have advised their lesbian and gay patients to use homosexual fantasies during heterosexual behavior, which is hardly a change in sexual orientation.	[[0.215,0.616,0.145,0.015,0.009]]	[0.215,0.616,0.145,0.015,0.009]	negative
50	In granting a preliminary injunction, Judge Robert Aguilar said that the constitutional rights of the plaintiffs, Lesbian-Gay Freedom Day Committee Inc. and others, had been threatened by an Immigration and Naturalization Service policy of blocking homosexuals or those accused of being homosexual from visiting the country.	[[0.206,0.603,0.154,0.025,0.012]]	[0.206,0.603,0.154,0.025,0.012]	negative
51	The Paramus Board of Education, which had pressed for Mr. Gish's expulsion, said that his stature as a political activist for ''gay liberation'' was likely to cause confusion and anxiety among his students, especially those with sexual identity problems.	[[0.482,0.404,0.09,0.008,0.016]]	[0.482,0.404,0.09,0.008,0.016]	very negative
52	LEAD: Typically, the parent of a gay child passes through successive stages of shock, disbelief, sorrow and, sooner or later, acceptance.	[[0.308,0.519,0.123,0.024,0.026]]	[0.308,0.519,0.123,0.024,0.026]	negative
53	Jeff Levy, executive director of the National Gay and Lesbian Task Force in Washington, said the decision Monday in which the High Court ruled that a Georgia law prohibiting anal and oral intercourse did not violate the constitutional right to privacy ''had really galvanized people.''	[[0.288,0.523,0.162,0.013,0.015]]	[0.288,0.523,0.162,0.013,0.015]	negative
54	LEAD: A group of gay Roman Catholics resumed their protests during Mass at St. Patrick's Cathedral yesterday, one month after 11 of them were arrested at the Cathedral when they refused to be seated during the sermon.	[[0.178,0.602,0.192,0.019,0.009]]	[0.178,0.602,0.192,0.019,0.009]	negative
55	The concert offered traditional seasonal offerings by the guest conductor, Robin Kay, director of the San Francisco Lesbian and Gay Men's Community Chorus, and contemporary settings, antiphonal pieces with brass, a cantata and even a sampling of P.D.Q. Bach conducted by the group's founder and music director, Gary Miller.	[[0.222,0.672,0.089,0.011,0.005]]	[0.222,0.672,0.089,0.011,0.005]	negative
56	Mayor Koch yesterday appointed Joyce Hunter, a social worker and spokesman for the Coalition for Lesbian and Gay Rights, and James R. Levin, a lawyer and professor of social science at City College, to the city's Commission on Human Rights.	[[0.017,0.038,0.165,0.583,0.198]]	[0.017,0.038,0.165,0.583,0.198]	positive
57	According to the policy, recognition of homosexual and lesbian marriages and of economic benefits for ''life partners'' similar to those enjoyed by a spouse in a heterosexual marriage, is ''imperative for the complete legal equality of lesbians and gay men.''	[[0.048,0.463,0.41,0.066,0.012]]	[0.048,0.463,0.41,0.066,0.012]	negative
58	Among the most significant reasons for the renewed interest, gay-rights leaders say, is the AIDS epidemic, which has brought questions of inheritance and death benefits to many people's minds.	[[0.305,0.525,0.141,0.014,0.014]]	[0.305,0.525,0.141,0.014,0.014]	negative
59	The organization, the Gay Veterans Association, was denied permission by the American Legion to march Nov. 11 under an association banner.	[[0.212,0.589,0.172,0.016,0.011]]	[0.212,0.589,0.172,0.016,0.011]	negative
60	Edward, 43, is his ''crisis intervention worker,'' a counselor assigned to him last August by the nonprofit Gay Men's Health Crisis, which, through its 1,100 volunteers, provides nonmedical outpatient assistance to New Yorkers with AIDS.	[[0.417,0.454,0.107,0.009,0.012]]	[0.417,0.454,0.107,0.009,0.012]	negative
61	The theme of the meeting, sponsored by the National Gay & Lesbian Task Force, is ''Creating Change.''	[[0.122,0.773,0.089,0.011,0.005]]	[0.122,0.773,0.089,0.011,0.005]	negative
62	LEAD: A Federal appeals court, in a decision that gay rights advocates said was a major victory, has ruled that a group of homosexual students at the University of Arkansas has a constitutional right to receive public money on the same basis as other student organizations.	[[0.045,0.112,0.154,0.512,0.178]]	[0.045,0.112,0.154,0.512,0.178]	positive
63	For those of us who are not part of the gay community, AIDS suddenly became not just a bunch of statistics, but a person.	[[0.071,0.619,0.24,0.06,0.01]]	[0.071,0.619,0.24,0.06,0.01]	negative
64	The defeat was the 11th suffered by five different versions of the so-called ''gay rights bill'' in 10 years, including one last month.	[[0.071,0.541,0.326,0.051,0.011]]	[0.071,0.541,0.326,0.051,0.011]	negative
65	It is the junior highs and high schools we should be talking to because they are beginning to experiment with sexual practices, gay sexual practices and intravenous drug abuse, and that's how AIDS is spread.''	[[0.272,0.693,0.027,0.004,0.005]]	[0.272,0.693,0.027,0.004,0.005]	negative
66	Tom Waddell, who placed sixth in the 1968 Olympic decathlon and helped found the Gay Games in San Francisco four years ago, is fighting two battles these days.	[[0.101,0.315,0.18,0.282,0.123]]	[0.101,0.315,0.18,0.282,0.123]	negative
67	Wherever gay issues have arisen, someone has raised the issue of AIDS.	[[0.097,0.654,0.234,0.01,0.005]]	[0.097,0.654,0.234,0.01,0.005]	negative
68	The discussion was held in a panel, ''Parental Support of Gay Children: Empirical, Experiential and Organizational Perspectives,'' with parents who had set up a nationwide peer counseling network to help other parents of homosexual children to cope with guilts and fears.	[[0.125,0.705,0.142,0.023,0.006]]	[0.125,0.705,0.142,0.023,0.006]	negative
69	Despite the four-to-one defeat, the leader of Houston's Gay Political Caucus said homosexual men and women would continue to back candidates and press for nondiscriminatory policies.	[[0.095,0.647,0.217,0.031,0.01]]	[0.095,0.647,0.217,0.031,0.01]	negative
70	Nearly 200 people rallied today at Stanford University to protest the vandalizing of a sculpture titled ''Gay Liberation.''	[[0.109,0.649,0.223,0.013,0.006]]	[0.109,0.649,0.223,0.013,0.006]	negative
71	LEAD: An investigation by the Department of Health and Human Services has cleared officials of the Gay Men's Health Crisis of accusations that the Manhattan-based group used Federal money to produce sexually explicit educational comic books.	[[0.233,0.524,0.209,0.021,0.013]]	[0.233,0.524,0.209,0.021,0.013]	negative
72	About 1,300 men and women will compete for nine days in 17 events, known as the Gay Games, ranging from track and field to billiards, bowling and weight-lifting.	[[0.133,0.572,0.197,0.071,0.028]]	[0.133,0.572,0.197,0.071,0.028]	negative
73	It is preposterous to award the sole contract for this kind of service to an agency that has a declared policy that it won't hire openly gay people,'' Andrew Humm, of the Coalition for Lesbian and Gay Rights, said at a City Hall news conference.	[[0.59,0.238,0.152,0.006,0.014]]	[0.59,0.238,0.152,0.006,0.014]	very negative
74	There's no question that AIDS has frightened p eople in the gay community and that many are cutting down on the n umber of partners and the number of sexual contacts,'' said Yehudi M .	[[0.165,0.548,0.195,0.069,0.023]]	[0.165,0.548,0.195,0.069,0.023]	negative
75	LEAD: More than 250,000 people are expected to participate in Lesbian and Gay Pride Weekend, say its organizers, beginning with a rally on the Great Lawn in Central Park today, continuing with a parade down Fifth Avenue tomorrow and culminating in a fireworks display tomorrow night.	[[0.274,0.491,0.207,0.016,0.011]]	[0.274,0.491,0.207,0.016,0.011]	negative
76	Many of the marchers carried placards urging ''Gay/Lesbian Vote '85,'' and two of the Democratic candidates for mayor - Mayor Koch and City Council President Carol Bellamy -joined the parade.	[[0.279,0.578,0.127,0.008,0.008]]	[0.279,0.578,0.127,0.008,0.008]	negative
77	Among the tens of thousands of marchers were groups called Parents of Lesbians and Gays, Gay Teachers and Gay Psychologists.	[[0.117,0.62,0.209,0.039,0.015]]	[0.117,0.62,0.209,0.039,0.015]	negative
78	The Gay Eighties'' is a 30-minute report and discussion on the present state of homosexuals, and it glides along on liberal, tolerant, enlightened assumptions about ''sexual preference'' without pausing to examine them or the antagonism they encounter.	[[0.036,0.079,0.105,0.539,0.242]]	[0.036,0.079,0.105,0.539,0.242]	positive
79	To the Editor: Opponents of the gay-rights bill pending before the New York City Council seriously distort its content and effect in their arguments.	[[0.109,0.674,0.192,0.017,0.007]]	[0.109,0.674,0.192,0.017,0.007]	negative
80	LEAD: As gay Americans converge on Washington this weekend for a huge civil rights demonstration, leaders can point to living evidence that their movement is stronger than ever.	[[0.137,0.563,0.232,0.048,0.021]]	[0.137,0.563,0.232,0.048,0.021]	negative
81	He also spoke of Peter Vogel, former vice chairman of the state's Advisory Council on AIDS and chairman of the Governor's Task Force on Gay Concerns.	[[0.13,0.726,0.122,0.016,0.006]]	[0.13,0.726,0.122,0.016,0.006]	negative
82	They also seem to suggest, however, that society shows increasing acceptance of, and tolerance for, gay men and lesbians.	[[0.238,0.585,0.163,0.008,0.005]]	[0.238,0.585,0.163,0.008,0.005]	negative
83	LEAD: For Rick Crane, the last few Gay Freedom Day parades were milestones in the tormented process of losing a partner to AIDS.	[[0.078,0.447,0.365,0.086,0.024]]	[0.078,0.447,0.365,0.086,0.024]	negative
84	Karen Stabiner's article ''Tapping the Homosexual Market'' (May 2) focuses on the more affluent segment of the gay market.	[[0.061,0.471,0.418,0.042,0.008]]	[0.061,0.471,0.418,0.042,0.008]	negative
85	LEAD: Two Yale police officers will be disciplined for using ''poor judgment'' in arresting two people during a clash with the police at a conference on gay and lesbian studies in October, university officials said today.	[[0.136,0.581,0.215,0.046,0.022]]	[0.136,0.581,0.215,0.046,0.022]	negative
86	Philip's parents don't know that their son is a homosexual, but he doesn't know that his father is also gay.	[[0.104,0.563,0.287,0.037,0.01]]	[0.104,0.563,0.287,0.037,0.01]	negative
87	LEAD: Twenty years after a police raid on a gay bar in Greenwich Village unleashed the pent-up anger of the homosexual community and started the modern gay-rights movement, homosexual men and lesbians say that laws, court decisions and changing attitudes have helped them move closer to the mainstream of society.	[[0.103,0.491,0.335,0.052,0.018]]	[0.103,0.491,0.335,0.052,0.018]	negative
88	LEAD: SHOWING explicit, erotic, films of safer sex practices is more effective than other techniques of encouraging gay men to avoid sexual behavior that places them at high risk for infection with the AIDS virus, according to a new study.	[[0.224,0.552,0.197,0.016,0.011]]	[0.224,0.552,0.197,0.016,0.011]	negative
89	They joined more than 200 men and women of all ages for a fund-raising dinner celebrating the 10th anniversary of Senior Action in a Gay Environment.	[[0.074,0.571,0.326,0.022,0.007]]	[0.074,0.571,0.326,0.022,0.007]	negative
90	"It's not the mainstream of gay life."	[[0.079,0.627,0.257,0.031,0.007]]	[0.079,0.627,0.257,0.031,0.007]	negative
91	Jon Sims, founder of San Francisco's Gay Freedom Day Marching Band and the Gay Men's Chorus, died Monday of acquired immune deficiency syndrome at Pacific Medical Center in San Francisco.	[[0.305,0.55,0.088,0.025,0.032]]	[0.305,0.55,0.088,0.025,0.032]	negative
92	The conference was sponsored by the National Association of Gay and Lesbian Democratic Clubs and the Municipal Elections Committee of Los Angeles.	[[0.095,0.633,0.235,0.028,0.009]]	[0.095,0.633,0.235,0.028,0.009]	negative
93	Excerpts from an exchange between Senator Strom Thurmond, chairman of the Judiciary Committee, and Jeffrey W. Levi, executive director of the National Gay and Lesbian Task Force, at a hearing on the nomination of Associate Justice William H. Rehnquist to be Chief Justice, July 31: MR. THURMOND: Mr. Levi, are you an officer in the National Gay and Lesbian Task Force?	[[0.547,0.405,0.038,0.002,0.007]]	[0.547,0.405,0.038,0.002,0.007]	very negative
94	IT'S hard to make out what Edmund White - probably still best known for his ''States of Desire: Travels in Gay America'' - is up to in his fourth and latest novel, ''Caracole.''	[[0.17,0.576,0.211,0.027,0.016]]	[0.17,0.576,0.211,0.027,0.016]	negative
95	Ask her which has been the greater obstacle in her life: her gender or her sexuality, and she answers: ''That's easy - judgments are based on seeing; one of the things about being gay that doesn't get in the way is that, most of the time, you can't see it, but being a woman is something you have to deal with every minute.''	[[0.001,0.003,0.082,0.827,0.087]]	[0.001,0.003,0.082,0.827,0.087]	positive
96	It would be a rather commonplace scene except that in this instance the patient has AIDS and just about all of his friends are gay.	[[0.143,0.599,0.214,0.032,0.012]]	[0.143,0.599,0.214,0.032,0.012]	negative
97	Marchers included members of several organizations calling for increased rights for homosexuals as well as a group of transvestite beauty queens led by ''Miss Gay Rochester'' and someone on stilts dressed as a purple butterfly.	[[0.149,0.565,0.236,0.034,0.016]]	[0.149,0.565,0.236,0.034,0.016]	negative
98	LEAD: When New York State's highest court ruled Thursday that a gay couple who had lived together could be considered a family under New York City's rent-control regulations, it was a critical step in a changing definition of society's basic unit: the family.	[[0.109,0.486,0.273,0.098,0.033]]	[0.109,0.486,0.273,0.098,0.033]	negative
99	LEAD: A Federal appeals court here today ordered the Army to make an exception to its ban on homosexuals and allow a former sergeant who is gay to re-enlist.	[[0.023,0.065,0.156,0.599,0.157]]	[0.023,0.065,0.156,0.599,0.157]	positive
100	LEAD: The Supreme Court ruled today that the United States Olympic Committee had the legal authority to bar a homosexual rights group from calling its athletic games the ''Gay Olympics.''	[[0.089,0.52,0.308,0.063,0.02]]	[0.089,0.52,0.308,0.063,0.02]	negative
101	''BEFORE STONEWALL: The Making of a Gay and Lesbian Community'' begins with a preface. ''	[[0.085,0.585,0.229,0.081,0.019]]	[0.085,0.585,0.229,0.081,0.019]	negative
102	LEAD: After a dispute over an alumna's characterization of Yale as a ''gay school,'' the university has announced plans for a conference on gay studies.	[[0.14,0.591,0.221,0.033,0.015]]	[0.14,0.591,0.221,0.033,0.015]	negative
103	More than 10,000 supporters of rights for homosexuals marched through Beacon Hill and rallied on The Common today in the annual Gay and Lesbian Pride parade.	[[0.244,0.64,0.079,0.019,0.018]]	[0.244,0.64,0.079,0.019,0.018]	negative
104	To the Editor: In a news story (Jan. 13) on the gay-rights bill before the City Council, John Cardinal O'Connor is quoted as opposing the bill because it would turn homosexuals into ''an exempt or preferred class.''	[[0.245,0.575,0.163,0.009,0.007]]	[0.245,0.575,0.163,0.009,0.007]	negative
105	I did some research with the Gay Men's Health Crisis,'' Mr. Schachter said. ''	[[0.037,0.283,0.481,0.179,0.02]]	[0.037,0.283,0.481,0.179,0.02]	neutral
106	The AIDS crisis appears to have highlighted the discrimination that gay men and lesbians have always experienced,'' the commission said in a report to Mayor Koch.	[[0.217,0.548,0.216,0.011,0.008]]	[0.217,0.548,0.216,0.011,0.008]	negative
107	Some continue to resist the message at a time when the Gay Men's Health Crisis, the city's leading homosexual organization, is stepping up efforts to educate people about prevention of acquired immune deficiency syndrome, transmitted primarily through intimate sexual contact.	[[0.085,0.513,0.321,0.067,0.015]]	[0.085,0.513,0.321,0.067,0.015]	negative
108	Earlier this year the Democratic National Committee established a Gay and Lesbian Caucus, and officials at the Republican National Committee so far have held two meetings with representatives of the party's six homosexual clubs. ''	[[0.033,0.082,0.041,0.604,0.241]]	[0.033,0.082,0.041,0.604,0.241]	positive
109	As city officials talk with organizers of the Gay/Lesbian Pride Day parade about painting a lavender stripe along Fifth Avenue, they have also compiled final statistics on the St. Patrick's Day green stripe.	[[0.115,0.628,0.192,0.049,0.015]]	[0.115,0.628,0.192,0.049,0.015]	negative
110	Gay rights advocates hailed the move.	[[0.035,0.164,0.354,0.378,0.068]]	[0.035,0.164,0.354,0.378,0.068]	positive
111	It seems clear from the testimony,'' said Julian Epstein, a spokesman for Representative John Conyers Jr., the Michigan Democrat who heads the subcommittee, ''that there have been dramatic increases in violence directed against gay men and lesbians, and the violence seems to be connected with the AIDS problem and a general hostility directed against the gay and lesbian population.''	[[0.216,0.573,0.175,0.025,0.012]]	[0.216,0.573,0.175,0.025,0.012]	negative
112	LEAD: Sheldon Andelson, a leader in the gay community and a fund-raiser for such politicians as Senator Edward M. Kennedy and Walter F. Mondale, died Tuesday of complications from AIDS.	[[0.295,0.472,0.212,0.012,0.009]]	[0.295,0.472,0.212,0.012,0.009]	negative
113	For many of us, however, there is yet another phase: outrage against society's stereotypical thinking that would relegate our gay loved ones to second-class citizenship.	[[0.129,0.754,0.092,0.019,0.005]]	[0.129,0.754,0.092,0.019,0.005]	negative
114	LEAD: NBC's ''Midnight Caller'' got stung last season with an episode about AIDS that triggered, and deserved, the strong protests of gay and other concerned groups.	[[0.166,0.561,0.228,0.03,0.016]]	[0.166,0.561,0.228,0.03,0.016]	negative
115	AS part of its ''Gay Pride Week'' lineup of programming, Channel 13 is broadcasting tomorrow night at 10 o'clock a rare and fascinating film fragment entitled ''Different From the Others.''	[[0.299,0.558,0.112,0.014,0.016]]	[0.299,0.558,0.112,0.014,0.016]	negative
116	Yes, there is a gay market; there is also a lesbian market despite the fact that the word ''lesbian'' did not appear in your article.	[[0.196,0.608,0.174,0.013,0.008]]	[0.196,0.608,0.174,0.013,0.008]	negative
117	A lawyer who gave up his practice to advocate gay rights, Mr. Scott worked to defeat measures requiring the dismissal of homosexual teachers and requiring that people with acquired immune deficiency syndrome be registered with the state.	[[0.126,0.551,0.229,0.068,0.026]]	[0.126,0.551,0.229,0.068,0.026]	negative
118	LEAD: ''A Night at the Moulin Rouge'' will be presented tonight at 8 at the Triplex, 199 Chambers Street (869-2922, or Teletron at 947-5850), by the Lesbian and Gay Big Apple Corps Symphonic Band and the Hot Lavender Swing Band, with the Wicked Step Sisters tap dancers.	[[0.316,0.523,0.136,0.015,0.01]]	[0.316,0.523,0.136,0.015,0.01]	negative
119	LEAD: Is violence against gay men and lesbians rising?	[[0.064,0.52,0.357,0.047,0.012]]	[0.064,0.52,0.357,0.047,0.012]	negative
120	Despite its name and despite stereotypes, the Gay Men's Health Crisis finds itself helping a growing number of AIDS patients who are neither homosexual nor male; who are not white, do not speak English, do not live in the middle of Manhattan.	[[0.444,0.449,0.083,0.008,0.015]]	[0.444,0.449,0.083,0.008,0.015]	negative
121	LEAD: Victor Bumbalo's ''Adam and the Experts'' may be the most important play to deal with the AIDS crisis in gay society since William Hoffman's ''As Is'' and Larry Kramer's ''Normal Heart'' sounded their anguished alarms four and a half years ago.	[[0.055,0.458,0.411,0.062,0.013]]	[0.055,0.458,0.411,0.062,0.013]	negative
122	The Senate minority leader, Manfred Ohrenstein, a Manhattan Democrat, introduced the resolution to honor ''a legacy of compassion and commitment'' by the activist, Peter Vogel, who was chairman of the Governor's Task Force on Gay Concerns.	[[0.252,0.556,0.094,0.052,0.045]]	[0.252,0.556,0.094,0.052,0.045]	negative
123	LEAD: In an unusual outreach to homosexuals by a mainstream Christian church, the Episcopal Diocese of Newark opened a special ministry today to bring ''unchurched and embittered lesbians and gay people'' into a church program that accepts their sexual orientation.	[[0.118,0.493,0.265,0.092,0.033]]	[0.118,0.493,0.265,0.092,0.033]	negative
124	For the past nine days 3,400 amateur athletes from 37 states and 16 foreign countries, most of them homosexuals, have been competing here in an Olympic-style sports event, Gay Games II.	[[0.195,0.633,0.149,0.014,0.009]]	[0.195,0.633,0.149,0.014,0.009]	negative
125	Variations on her story were told over and over this past weekend as 125 parents of homosexuals from all over the country gathered at the Roosevelt Hotel for the second annual convention of the Federation of Parents and Friends of Lesbians and Gays Inc.	[[0.149,0.624,0.184,0.029,0.014]]	[0.149,0.624,0.184,0.029,0.014]	negative
126	LEAD: Peter Scott, a champion of gay rights who canceled a campaign for the California Assembly after learning that he had AIDS, died of complications from the disease at his home Saturday.	[[0.205,0.541,0.227,0.017,0.011]]	[0.205,0.541,0.227,0.017,0.011]	negative
127	LEAD: An eight-year legal battle that pitted gay students against the nation's oldest Roman Catholic university ended this week as lawyers for Georgetown University in Washington agreed to give homosexual student groups the same privileges as other student groups.	[[0.273,0.575,0.134,0.009,0.008]]	[0.273,0.575,0.134,0.009,0.008]	negative
128	Researchers call it A.I.D., for acquired immunodeficiency disease, or GRID, for gay-related immunodeficiency.	[[0.134,0.577,0.247,0.029,0.014]]	[0.134,0.577,0.247,0.029,0.014]	negative
129	The whole purpose,'' Fern H. Schwaber, a lawyer and one of the conference's sponsors, said in an interview, ''is to sensitize health care providers to the needs of the lesbian and gay communities and also to improve health care delivery services.''	[[0.082,0.186,0.141,0.422,0.169]]	[0.082,0.186,0.141,0.422,0.169]	positive
130	LEAD: A two-day conference on gay and lesbian studies is to be held tomorrow at the Brooklyn College Student Center, Campus Road and East 27th Street in Flatbush, and on Saturday at the City University Graduate Center auditorium, 33 West 42d Street.	[[0.251,0.51,0.213,0.016,0.011]]	[0.251,0.51,0.213,0.016,0.011]	negative
131	LEAD: As hundreds of protesters shouted ''Dump Koch,'' Mayor Edward I. Koch proclaimed the month of June as Lesbian and Gay Pride and History Month at a ceremony last night in Sheridan Square in Greenwich Village.	[[0.296,0.536,0.148,0.011,0.009]]	[0.296,0.536,0.148,0.011,0.009]	negative
132	Plus: an essay on writing for the movies, in which Vidal discloses how he turned ''Ben-Hur'' into a gay film and set Stephen Boyd yearning for Charlton Heston; an essay on politics and sex, or rather homosex, which Vidal prefers to call ''same-sex sex''; a note on Abraham Lincoln; and three essays on the State of the Union, 1980, in which Vidal urged his Los Angeles readers not to vote in the Presidential election.	[[0.425,0.407,0.154,0.006,0.008]]	[0.425,0.407,0.154,0.006,0.008]	very negative
133	Many of us in the gay community and in the AIDS service community have long cried out for coverage that goes beyond superficiality and sensationalism.	[[0.238,0.619,0.115,0.019,0.01]]	[0.238,0.619,0.115,0.019,0.01]	negative
134	Even a quick look at events in Washington and around the country shows that the Christian right's attack on gay civil rights is taking on new life and intensity.	[[0.006,0.008,0.029,0.714,0.243]]	[0.006,0.008,0.029,0.714,0.243]	positive
135	LEAD: At the stroke of 3 o'clock yesterday, as marchers and spectators at the Gay/Lesbian Pride Parade fell silent along Fifth Avenue, a cloud of lavender and pink balloons rose from the steps of the New York Public Library, momentarily obscuring the library's stone lions and then dispersing in the breeze.	[[0.254,0.496,0.202,0.032,0.017]]	[0.254,0.496,0.202,0.032,0.017]	negative
136	LEAD: Despite pressure from gay groups, the Cuomo administration has delayed drafting housing regulations to expand the rights of unmarried couples and has indicated that it will leave the issue to the Legislature and the courts.	[[0.185,0.509,0.254,0.034,0.017]]	[0.185,0.509,0.254,0.034,0.017]	negative
137	LEAD: FIGHTING BACK The Struggle for Gay Rights.	[[0.099,0.529,0.291,0.061,0.021]]	[0.099,0.529,0.291,0.061,0.021]	negative
138	He has high hopes of winning one - an appeal to the Supreme Court of decisions siding with the United States Olympic Committee, which has prohibited the Gay Games from using the designation ''Gay Olympics.''	[[0.031,0.147,0.291,0.46,0.07]]	[0.031,0.147,0.291,0.46,0.07]	positive
139	LEAD: About 100 advocates for gay and lesbian rights, shouting slogans and waving pink- and lavender-lettered signs, rallied outside the office of Yale University's president today to protest the arrest of nine men last week in a confrontation with campus and city police officers over a sexually explicit poster.	[[0.214,0.512,0.223,0.033,0.017]]	[0.214,0.512,0.223,0.033,0.017]	negative
140	We are no longer a mom-and-pop operation, and we do see a future for ourselves,'' said Willard Gaylin, president of the Hastings Center.	[[0.412,0.459,0.115,0.005,0.009]]	[0.412,0.459,0.115,0.005,0.009]	negative
141	But the enumeration of the included minorities omits a population estimated to be around 23 million Americans: the gay and lesbian Americans, many of whom are still denied job protections, housing, credit and adequate health care based solely on their sexual orientation.	[[0.163,0.702,0.121,0.009,0.005]]	[0.163,0.702,0.121,0.009,0.005]	negative
142	Among the topics are city and state laws on homosexual rights; lobbying; AIDS legislation, and working with law-enforcement agencies to combat violence against gays.	[[0.167,0.64,0.168,0.017,0.009]]	[0.167,0.64,0.168,0.017,0.009]	negative
